Check this.	Sjáðu þetta.
I mean, we got this.	Tökum þetta.
Come on, baby.	Svona, vinur.
We got this.	Við tökum þetta.
Tone, you're down.	Tone, þú hvílir.
Pat, you're in.	Pat, þú ert með.
Let's go.	Byrjum.
Put the ball into play.	Komum boltanum í leik.
Let's go.	Byrjum.
Knock his teeth out.	Kýldu úr honum tennurnar.
I got you, man.	Ég hef þig.
Let's go, man.	Af stað.
Let's go.	Af stað.
Let's play.	Byrjum.
Come on, let's go.	Svona, byrjum.
Line up.	Raðið ykkur upp.
So what?	Hvað með það?
It don't matter.	Skiptir engu.
You're nuts, you know that?	Þú ert brjálaður, veistu það?
What's up, Max?	Sæll, Max?
What's up, Vince?	Blessaður, Vince.
Good to see you.	Gaman að sjá þig.
Let's just play some ball.	Spilum bara fótbolta.
We're gonna pass through the rain and you can't stop us.	Við komumst í gegn, þið stöðvið okkur ekki.
Huddle up.	Í hóp.
On one.	Á einum.
Ready?	Tilbúnir?
Break.	Af stað.
Vince, you okay?	Vince, er í lagi með þig?
Never better, Maxie.	Aldrei liðið betur, Maxie.
Never better.	Aldrei liðið betur.
Play ball!	Spilum fótbolta!
Yes!	Já!
Yes!	Já!
Good try, all right?	Var þetta ekki magnað?
Definitely.	Svo sannarlega.
Good game, guys.	Góður leikur, félagar.
Come on.	Komum.
Come on, let's get a drink.	Komum og fáum okkur drykk.
Let's get a drink.	Fáum okkur drykk.
Tanker boys are buying again.	Tanker-strákarnir eiga aftur að bjóða.
Good game, guys.	Góður leikur, strákar.
Yo, Vince.	Heyrðu, Vince.
Even if this is your last game with the Eagles, win one for the boys in the neighbourhood, huh?	Þó þetta verði þinn lokaleikur með Eagles, viltu þá ekki vinna einn leik fyrir strákana í hverfinu?
Hey!	Jæja!
Hi.	Sæll.
Hey.	Sæl.
Vince...	Vince...
Oh, my God, are you all...	Almáttugur, þú ert allur...
What happened?	Hvað gerðist?
No, it's nothing.	Þetta er ekkert.
Maxie and the boys needed a little help with the game tonight.	Maxie og strákarnir þurftu hjálp með leikinn í kvöld.
You're the help?	Ert þú hjálpin?
What do those guys look like?	Hvernig líta hinir út?
It's good to see you.	Gaman að sjá þig.
How you doing?	Hvað segir þú?
I'm good.	Fínt.
What you said the other night...	Það sem þú sagðir um kvöldið...
I don't know, I guess I needed a couple days to hear it.	Ég veit ekki, ég þurfti sennilega nokkra daga til að melta það.
So if you still...	Þannig að ef þú ert enn...
I wasn't done.	Ég var ekki búin.
I can finish later.	Ég get klárað seinna.
Morning.	Góðan daginn.
Get any sleep?	Gastu sofið eitthvað?
Not too much.	Ekki mikið.
Neither did I. Well, look at it this way.	Ekki ég heldur. Vermeil, sigraðu eða farðu!
If it doesn't work out, at least we'll have a great lawn back in LA.	Lítum á það svona. Ef þetta gengur ekki, bíður okkar fín grasflöt í LA.
Give'em hell.	Láttu þá hafa það.
Wanna get out of my seat?	Giants gegn Eagles 1. heimaleikur, 19. september 1976 Viltu fara úr sætinu mínu?
I said, get out of my seat.	Ég sagði þér að fara úr sætinu mínu.
Hey!	Hey!
Come on.	Heyrðu mig nú.
Never mind.	Fástu ekki um það.
Thank you.	Takk.
Thank you.	Takk fyrir.
Thank you.	Takk fyrir.
Get her out of here!	Burt með hana!
Hey.	Heyriði.
She's with us. Relax.	Hún er með okkur.
You're not a real Eagles fan.	Þú ert ekki alvöru stuðningsmaður.
Shut your mouth!...	Þegiðu!...
G L... Shut your mouth....	G L... Þegiðu....
E S. Go, Giants.	E S. Áfram, Giants.
A team with character will find a way to beat a team with better talent.	Lið sem lætur hjartað ráða för mun finna leið til að sigra betra lið.
I believe that.	Ég trúi því.
And you guys are not the team that's short on talent here today.	Og það vantar ekki hæfileikana í okkar lið.
And I swear you'll never again be the team short on character.	Og ég lofa því að hér eftir eigi hjartað ekki eftir að vanta.
We need to find the soul of this team again.	Við þurfum að finna sál þessa liðs á ný.
The soul that drove great Eagle players.	Sálina sem hvatti frábæra Eagles-leikmenn til dáða.
Players like Norm Van Brocklin, Tommy McDonald, Steve Van Buren.	Leikmenn eins og Norm Van Brocklin, Tommy McDonald, Steve Van Buren.
They weren't just out here playing for themselves.	Þeir voru ekki bara að keppa fyrir sjálfa sig.
They played for a city.	Þeir kepptu fyrir borg.
People of Philadelphia have suffered.	Íbúar Fíladelfíu eiga erfitt.
You are what they turn to in times like these.	Þeir snúa sér að ykkur á erfiðistímum.
You are what gives them hope.	Þið gefið þeim von.
Let's win one for them.	Sigrum leik fyrir þá.
Let's win one for us.	Sigrum leik fyrir okkur.
Bring it in.	Komið saman.
One, two, three.	Einn, tveir, þrír.
We're the Eagles.	Við erum Eagles.
Ladies and gentlemen, let's welcome your Philadelphia Eagles.	Herrar mínir og frúr, bjóðið ykkar lið, Philadelphia Eagles, velkomið.
The Eagles now receiving a mixed greeting from the fans here at the Vet.	Þær eru misgóðar, kveðjurnar sem Eagles fá frá stuðningsmönnunum.
No surprise, given the start to their season.	Ekki að undra, miðað við byrjun tímabilsins.
Six consecutive losses in the preseason, followed by last Sunday's embarrassing loss in Dallas.	Sex tapleikir í röð á undirbúningstímabilinu, og síðan vandræðalegt tap í Dallas síðasta sunnudag.
Special teams were a disaster last weekend.	Sérliðin voru hörmuleg síðustu helgi.
If the Eagles are to have any shot today, they need to make a statement right here and right now.	Til að eiga möguleika í dag þurfa Eagles að fara strax í gang.
No return.	Ekki hleypa þeim neitt.
And the kick is away.	Og það er búið að sparka.
He's pointing at me.	Hann er að benda á mig.
What a turnaround from last week, when Papale could do nothing right.	Þvílíkur viðsnúningur frá því í síðustu viku, þegar Papale gerði ekkert rétt.
There you go.	Svona.
Good speed.	Góður hraði.
Nice, Vince.	Vel gert, Vince.
All right, baby, this one's for...	Allt í lagi, vinur, þetta er fyrir...
What a hit, baby. What a hit.	Þvílík tæklun, vinur.
All right, let's go.	Allt í lagi, af stað.
53...	53...
Red 32.	Rauður 32.
27.	27.
Hut, hike.	Kasta, lyfta.
Craig Morton, rolling out to the right.	Craig Morton, hleypur til hægri.
He's got an open receiver in the end zone.	Það er óvaldaður grípari í markteignum.
Touchdown, Giants.	Snertimark, Giants.
And New York draws first blood.	Og New York skora fyrst.
This is our house.	Þetta er okkar heimavöllur.
Sit down!	Sestu!
Hey. Hey.	Heyrðu.
I told you, Andy, one more time.	Ég sagði þér að gera þetta ekki aftur.
Come here.	Komdu hingað.
Okay, we're gonna go far left for 28, pass right. Okay?	Ég fer til vinstri og þykist gefa á 28 en sendi til hægri.
Come on, Mike, take care of that ball!	Svona, Mike, sjáðu um þennan bolta!
Boryla with a nice play-action fake, looking, moving out to his right.	Boryla með fallega gabbhreyfingu, horfir, fer til hægri.
He's got Carmichael.	Hann sendir á Carmichael.
Touchdown, Eagles.	Snertimark, Eagles.
Yes!	Já!
No!	Nei!
Yeah, yeah.	Já, já!
Yeah!	Já!
Eagles and Giants now deadlocked at 7-7.	Eagles og Giants eru nú hnífjöfn, 7-7.
Let's get some points up.	Fáum stigin upp.
Stick him, T.J. Come on.	Tæklaðu hann, T.J. Svona nú.
A brilliant open-field tackle by Papale.	Frábær tæklun hjá Papale.
That was Papale!	Þetta var Papale!
Somebody block that guy.	Það þarf einhver að valda þennan.
That's the way it's done.	ÁFRAM VINCE Svona á að gera þetta.
That's football.	Þetta er fótbolti.
Eagles!	Eagles!
And listen to this crowd right now.	Og hlustið á mannfjöldann núna.
How long has it been since we've heard that?	Hvað er langt síðan við höfum heyrt þetta?
Andy. It's Frank.	Andy. Ég heiti Frank.
Sullivan hit in the backfield.	Það er ýtt við Sullivan.
Now finding some running room.	Nú hefur hann pláss til að hlaupa.
And he's brought down very close to a first down.	Hann er felldur stutt frá fyrsta kerfi.
Official time-out for a measurement.	Tíminn er stöðvaður til að mæla.
Come on.	Svona.
Now, if the Eagles pick up the first down, they'll still have a long way to go for a go-ahead score.	Ef að Eagles hafa náð fyrsta kerfi er enn langur vegur fyrir þá að komast yfir.
It's short.	Það er of stutt.
Yeah!	Já!
Damn.	Fjandinn.
Denied!	Neitað!
Eagle fans are not happy with the decision to punt, but Vermeil, not taking any chances here.	Fólk er ekki ánægt með spyrnuákvörðunina, en Vermeil tekur enga áhættu.
Now hoping for overtime.	Nú vonast hann eftir framlengingu.
Relax, relax.	Slakið á, slakið á.
Listen up.	Hlustið.
Good job.	Gott hjá ykkur.
Keep it safe. Safe.	Haldið þessu öruggu.
This is a huge play for both teams.	Þetta er mikilvægt fyrir bæði lið.
Break.	Af stað.
No room for mistakes on either side.	Hvorugt liðið má við mistökum.
Watch for the Giants to go for the block.	Það má búast við að Giants reyni hindrun.
I'm coming in, baby. 61.	Ég næ þér, vinur. 61.
61. Overload right.	61. Stafli hægra megin.
Come on, baby.	Svona, vinur.
We got this.	Við tökum þetta.
Check Zorro.	Zorro-hindrun.
Check Zorro.	Zorro-hindrun.
What?	Hvað?
What did he call?	Hvað sagði hann?
And Papale with a tremendous break on the ball.	Og Papale nær fínu forskoti að boltanum.
Fumble.	Fumbl.
Come on, Vince.	Svona nú, Vince.
He got the ball!	Hann hefur boltann!
Come on, Vince!	Svona, Vince!
Go.	Áfram.
Papale's at the 40.	Papale á 40 stikum.
Come on, Vince.	Svona, Vince.
The 30.	Á 30 stikum.
The 10.	Á 10 stikum.
Oh, my God.	Almáttugur.
Go, go, go!	Áfram, áfram, áfram!
That's it.	Einmitt svona.
Yes!	Já!
Unbelievable.	Ótrúlegt.
This is just unbelievable.	Þetta er alveg ótrúlegt.
Yes!	Já!
Yeah.	Já.
That's my boy!	Þetta er strákurinn minn!
That's your boy, Kingie.	Þetta er sonur þinn, Kingie.
That's the sound we've been looking for.	Eftir þessu hljóði höfum við beðið.
Yes!	Já!
Go!	Áfram!
Go!	Áfram!
Yes!	Já!
Oh, yeah!	Ó, já!
Go, Vince.	Áfram, Vince.
2006 English 105 USA Biography,Drama,Sport 36 1 1 utf-8 11739 1742 3 2013-02-12 English 1/1 1300 1.0 01:37:55,222	Rippað af....... Žice! 1324 Icelandic 1.0 1/1 2009-07-12 01:35:20,586 USA 105 Biography,Drama,Sport 2006 English 0 1740 0 10058 33 iso-8859-4 0
Thank you.	Takk fyrir.
Now it is with great pride that I introduce the highlight of the evening... our student exhibition!	Ég kynni með stolti hápunkt kvöldsins: Nemendadanssýninguna.
Blaine Academy students, please, take the floor.	Nemendur Dulaine akademíunnar gangi út á gólfið.
Dancers ready?	Eru dansarar tilbúnir?
Look, man, I paid for my ticket, you're gonna let me in.	Ég borgaði fyrir miðann, þú hleypir mér inn.
I am?	Er það?
Come on, man.	Slepptu mér.
Get off me!	Slepptu mér!
Everybody else's punkass is going in there.	Allir aðrir fara inn.
Whoa, what?!	Hvað?
What's poppin', playboy?	Hvað er títt, glaumgosi?
Yo, what's up, man?	Hvað er títt?
Ain't seen you since your brother's service.	Ég hef ekki séð þig síðan íjarðar - för bróður þíns.
Almost a year now, dawg.	Næstum ár síðan.
Yeah, almost.	Já, næstum því.
Looks like Miss Principal left you a little present, baby.	Fröken skólastýra skildi eftir gjöf handa þér.
She in there enjoying your party.	Hún er að skemmta sér á dansleiknum þínum.
You feel me?	Skilurðu?
Whatcha gonna do?	Hvað ætlarðu að gera?
Gonna get some justice, right?	Ætlarðu að fullnægja réttlætinu?
Now's your chance, son.	Núna er tækifærið.
Is that your car, man?	Er þetta bíllinn þinn?
No.	Nei.
All right, you've got somewhere to be and it is not in my hallway.	Þið eigið að vera einhvers staðar annars staðar en á ganginum!
Get there and get there fast.	Komið ykkur þangað í snatri!
Paul Lopez, put a belt in those pants.	Paul Lopez, settu belti á buxurnar.
I do not want to have to see your drawers.	Ég vil ekki sjá nærbuxurnar þínar.
Good morning.	Góðan dag.
Chin, if I see you on that cell phone one more time, it's mine.	Chin, ef ég sé þig aftur tala í gemsann þá tek ég hann.
Eddie French, in my office, you know why.	Eddie French, inn á skrifstofu! Þú veist ástæðuna!
They're smarter than...	Þau eru gáfaðri en...
You know how I feel about "smarter than."	Þú veist skoðun mína á "gáfaðri en".
There's kids out there selling drugs, doing the calculus in their heads.	Sumir krakkar sem selja dóp gera stærðfræðiútreikninga í huganum.
Now if you want to open up that lab to the rest of them, - maybe we could swing a grant. Are you serious?	Ef þú opnar tímana fyrir þeim líka væri hægt að athuga með styrk.
Yes, I'm serious.	Er þér alvara?
Augustine, we have to honor the kids that are excelling, not neglect them.	Já. Heiðrum krakkana sem skara fram úr í stað þess að vanrækja þá.
Joe, we operate on limited resources... morning, Gretchen.	Við höfum takmarkað fjármagn. Daginn, Gretchen.
Yo, son, who died?	Lagsi, hver dó?
Apparently, your manners.	Að því er virðist, mannasiðir.
Excuse me, sir, was that lady the principal?	Afsakið, herra, var daman þarna skólastjórinn?
Yeah.	Já.
Excuse me, those kids need your attention as well.	Þessir krakkar þurfa líka athygli þína.
But the ones who try actually deserve it.	En þeir sem reyna verðskulda hana.
Yo, son, what the hell you do that for?	Lagsi, af hverju í fjandanum gerðirðu þetta?
She wasn't carrying nothing'.	Hún hélt ekki á neinu.
She could've opened the door her damn self.	Hún hefði getað opnað dyrnar sjálf.
It's called courtesy.	Þetta kallast kurteisi.
Yeah, well, it makes you look like a punkass.	Þú virkar þá eins og aumingi.
You think so? Damn straight.	Finnst þér það?
Man, punkass moves like that won't get you no play around here.	Já. Svona aumingjaskapur kemur þér ekki á séns.
Trust me, I've tried it.	Trúðu mér, ég hef reynt það.
Oh, I've got plenty of play.	Ég kemst mikið á séns.
You're kidding, right?	Ertu að spauga?
Did you see that?	Sástu þetta?
He's been doing that for everyone.	Líttu á. Hann hefur gert þetta fyrir alla.
And he stands every time a woman walks past.	Og hann stendur upp í hvert sinn sem kona gengur fram hjá.
Freak.	Viðundur.
It's just my luck.	Dæmigerð heppni hjá mér.
Have security standing by.	Hafðu öryggisverði í viðbragðsstöðu.
Mr. Dulaine.	Herra Dulaine.
Come on in.	Komdu inn.
Eddie, sit your ass down.	Eddie. Sestu niður.
So what can I do for you?	Hvað get ég gert fyrir þig?
