BOOK I	FYRRI ÞÁTTUR
The line of military stations, that is to say, those Cossack posts which are ranged in echelon from Omsk to Semipolatinsk, must have been broken in several places.	Herstöðvarnar, það er kósakkaröstin, sem strengd var eins og festi á milli Omsk og Semipolatinsk, hefir nú þegar hlotið að vera orðin slitin í mörgum stöðum.
Now, it was to be feared that the "Grand Sultans," who govern the Kirghiz districts would either voluntarily accept, or involuntarily submit to, the dominion of Tartars, Mussulmen like themselves, and that to the hate caused by slavery was not united the hate due to the antagonism of the Greek and Mussulman religions.	Nú var og að óttast, að »stór-soldánarnir«, sem ríkja í héruðum Kirghiza, mundu annað tveggja lúta sjálfviljugir lúta valdi Tartara, er voru Múhameðstrúar eins og þeir sjálfir, eða óafvitandi dragast inn í leikinn. Það mátti og óttast, að saman við hatrið, sem þrælahaldið var orsök í, mundi blandast hatrið, sem sprottið var af trúarþrætum Múhameðsmanna og þeirra Grísk-kaþólsku.
For some time, indeed, the Tartars of Turkestan had endeavored, both by force and persuasion, to subdue the Kirghiz hordes.	Það var enda einu sinni, að Tartarar í Turkestan, sérstaklega þeir í Khana-umdæmunum Bokhara, Khiva, Khokhand og Koondooz, gerðu örugga tilraun, bæði með blíðu og stríðu, til að vinna alla Kirghiza undan hinni rússnesku krúnu.
A few words only with respect to these Tartars.	Þá er að segja örfá orð um Tartarana.
The Tartars belong more especially to two distinct races, the Caucasian and the Mongolian.	Þeir tilheyra tveimur auðkennilegum þjóðflokkum: Mongólum og Kákasus-mönnum.
The Caucasian race, which, as Abel de Remusat says, "is regarded in Europe as the type of beauty in our species, because all the nations in this part of the world have sprung from it," includes also the Turks and the Persians.	Kákasus-kynhvíslin, sem, eins og Abel de Rémusat segir, »er í Evrópu álitin fyrirmynd fegurðarinnar meðal mannkynsins, af því allar þjóðir í þessum hluta heimsins eru af þeim ættstofni«, - þessi kynkvísl Tartaranna gengur undir sama aðal-nafni eins og Tyrkir og Persar.
The present chief, Feofar-Khan, followed in the steps of his predecessors.	Höfðingi héraðsins nú var nefndur Feofor Khan og fylgdi hann í þessu efni rækilega í fótspor fyrirrennara sinna.
All communication was interrupted.	Frétta-samband allt var slitið.
Had the wire between Kolyvan and Tomsk been cut by Tartar scouts, or had the Emir himself arrived at the Yeniseisk provinces?	Höfðu útverðir Tartara höggið símþráðinn milli Kalyvan og Tomsk, eða var emírinn sjálfur kominn inn í Yeneseisk-héruðin?
No one could say.	Þessum spurningum kunni enginn að svara.
The only agent which fears neither cold nor heat, which can neither be stopped by the rigors of winter nor the heat of summer, and which flies with the rapidity of lightning-the electric current-was prevented from traversing the steppes, and it was no longer possible to warn the Grand Duke, shut up in Irkutsk, of the danger threatening him from the treason of Ivan Ogareff.	Hinn eini sendiboði, sem óttaðist hvorki hita né kulda, sem enginn veðrabreyting hefir áhrif á, og sem fer um landið með ljóshraða - rafmagnsstraumurinn - var nú stöðvaður austur á Síberíu-flesjum, og þess vegna ómögulegt að ná til stórhertogans, sem inniluktur var í Irkutsk, og vara hann við landráðamanninum Ivan Ogareff.
A courier only could supply the place of the interrupted current.	Sendimaður hlaut hér að koma í stað rafmagnsins.
It would take this man some time to traverse the five thousand two hundred versts between Moscow and Irkutsk.	En það var löng leið og seinfarin, sem sá sendiboði átti fyrir hendi, um fimm þúsund og tvö hundruð verstir frá Moskva.
CHAPTER III MICHAEL STROGOFF MEETS THE CZAR	III. Mikael Strogoff fyrir keisaranum.
THE door of the imperial cabinet was again opened and General Kissoff was announced.	Herbergisdyrnar opnuðust og Kissoff hershöfðingi kom inn.
"The courier?" inquired the Czar eagerly.	»Sendiboðinn?« spurði keisarinn óþreyjufullur.
"He is here, sire," replied General Kissoff.	»Hann er hér, herra,« svaraði Kissoff.
"Have you found a fitting man?"	»Og þú trúir, að hann sé góður maður?«
"I will answer for him to your majesty."	»Ég skal ábyrgjast það, herra.«
"Has he been in the service of the Palace?"	»Hefir hann verið í þjónustu við hallar-liðið?«
"Yes, sire."	»Já, herra.«
"You know him?"	»Og þú ert honum kunnugur?«
"Where does he come from?"	»Hvaðan er hann ættaður?«
"From Omsk.	»Frá Tomsk.
He is a Siberian."	Hann er fæddur í Síberíu.«
"Has he coolness, intelligence, courage?"	»Og hann hefir greind, áræði og hug.«
"Yes, sire; he has all the qualities necessary to succeed, even where others might possibly fail."	»Já, herra, hann hefir alla þessa eiginleika og er manna vísastur til að vinna sigur, þar sem aðrir gefast upp.«
"What is his age?"	»Hvað er hann gamall?«
"Thirty."	»Hann er þrítugur.«
"Is he strong and vigorous?"	»Og hann er framgjarn og hraustur?«
"Sire, he can bear cold, hunger, thirst, fatigue, to the very last extremities."	»Hann þolir kulda, hungur, þorsta og þreytu, betur en nokkur annar sem ég þekki.«
"He must have a frame of iron."	»Hann hlýtur að hafa eflda byggingu?«
"Is he ready to set out?"	»Er hann ferðbúinn?«
"He awaits your majesty's orders in the guard-room."	»Hann býður boða keisarans í varðmanna-salnum.«
"Let him come in," said the Czar.	»Láttu hann koma inn.«
His powerful head possessed the fine features of the Caucasian race.	Höfuðið var stórt og andlitið laglegt.
As he doffed his Muscovite cap, locks of thick curly hair fell over his broad, massive forehead.	Þegar hann tók ofan Moskóvíta-húfuna sína, liðuðust ljósir, þykkir og hrokknir hárlokkar niður um ennið.
When his ordinarily pale face became at all flushed, it arose solely from a more rapid action of the heart. His eyes, of a deep blue, looked with clear, frank, firm gaze.	Að jafnaði var hann fölur, en bæri það við að roði kæmi í kinnar hans, var það eingöngu sprottið af örari hjartslætti og harðari blóðrás.
The slightly-contracted eyebrows indicated lofty heroism-"the hero's cool courage," according to the definition of the physiologist.	Augun voru blá og kyrlát, en þó hvöss og djarfleg, augabrýrnar bogmyndaðar, sem samkvæmt útskýring eðlisfræðinganna, er vottur um göfuga hetjusál.
He possessed a fine nose, with large nostrils; and a well-shaped mouth, with the slightly-projecting lips which denote a generous and noble heart.	Nefið var beint og nasirnar nokkuð víðar, munnurinn lítill og varirnar blóðmiklar, og mátti af því ráða, að maðurinn var góðlyndur.
Michael Strogoff had the temperament of the man of action, who does not bite his nails or scratch his head in doubt and indecision.	Framkoma hans var á engan hátt lík framkomu þeirra, sem ýmist klóra sér í höfðinu eða naga neglurnar í vandræðunum að afráða nokkuð.
Sparing of gestures as of words, he always stood motionless like a soldier before his superior; but when he moved, his step showed a firmness, a freedom of movement, which proved the confidence and vivacity of his mind.	Frammi fyrir yfirboðara sínum bar hann sig að eins og hermanni sæmir, stóð teinréttur, hreyfingarlaus og talaði fátt, en þegar hann hreyfði sig, voru allir tilburðir hans liðugir og snarlegir.
Michael Strogoff wore a handsome military uniform something resembling that of a light-cavalry officer in the field-boots, spurs, half tightly-fitting trousers, brown pelisse, trimmed with fur and ornamented with yellow braid.	Hann var í fallegum einkennisbúningi, líkum búningi riddaraliðsins á vígvelli, í sporuðum stígvélum, nærskornum buxum, móleitri hempu með grávöru-kögri í hálsmáli, og í buxum með gulum borðum yfir öllum saumum.
On his breast glittered a cross and several medals.	Á brjósti hans glóði krossmerki úr gulli og margir minnispeningar.
Michael Strogoff belonged to the special corps of the Czar's couriers, ranking as an officer among those picked men.	Mikael Strogoff var yfirmaður í þeim flokki hermanna, sem helgaðir eru keisaranum sem hraðboðar, en í þeim flokki eru ekki nema úrvalsmenn.
His most discernible characteristic-particularly in his walk, his face, in the whole man, and which the Czar perceived at a glance-was, that he was "a fulfiller of orders."	Aðaleinkenni hans sást greinilega, hvar sem á hann var litið, kom fram jafnt í tilburðum öllum og á svip hans, og eftir því tók keisarinn undireins, það var, að hann hugsaði öllu fremur um að fullnægja skipun yfirboðarans.
A circumstance especially favorable to the success of his plan was, that he was thoroughly acquainted with the country which he was about to traverse, and understood its different dialects-not only from having traveled there before, but because he was of Siberian origin.	Það var líka ómetanlegur hagur fyrir hann, hve gagnkunnugur hann var héruðunum, sem hann þurfti að fara um og skildi og gat talað allar málýzkurnar, - því hann var fæddur og uppalinn í Síberíu, eins og áður er sagt.
His father-old Peter Strogoff, dead ten years since-inhabited the town of Omsk, situated in the government of the same name; and his mother, Marfa Strogoff, lived there still.	Faðir hans, hann gamli Pétur Strogoff, nú látinn fyrir 10 árum, bjó í þorpinu Omsk í samnefndu héraði og móðir hans, Marfa Strogoff, bjó þar eystra enn.
There, amid the wild steppes of the provinces of Omsk and Tobolsk, had the famous huntsman brought up his son Michael to endure hardship. Peter Strogoff was a huntsman by profession.	Pétur gamli hafði verið harðger veiðimaður og æfði Mikael við að þola blítt og strítt á veiðiferðum strax á unga aldri um merkurnar og flesjurnar í Omsk og Tobolsk-héruðunum.
but after stripping it he dragged the gigantic animal's skin to his father's house, many versts distant, exhibiting remarkable strength in a boy so young.	Þegar Mikael var 14 ára, hafði hann vegið sinn fyrsta björn - alveg hjálparlaust, en það var nú ekkert til að státa af, en svo hafði hann dregið skrokkinn, eftir að hafa hleypt innan úr honum, margar verstir heim að húsi foreldranna, og það var aflraun fyrir svo ungan pilt.
This style of life was of great benefit to him, and when he arrived at manhood he could bear any amount of cold, heat, hunger, thirst, or fatigue.	Þessi iðn færði honum þol og kjark, og þegar hann var fullvaxinn þoldi hann manna bezt hungur og þorsta, þreytu, kulda og vosbúð.
Like the Yakout of the northern countries, he was made of iron.	Eins og Yakutar norðurhéraðanna var hann, að ætla mátti, gerður úr stáli.
