We both know it.	Við vitum það bæði.
Been rambling all over the state last few years causing all kinds of trouble.	Hann hefur verið á flækingu um fylkið síðustu ár og valdið alls kyns vandræðum.
Finally hit the big time. Killed three people in a holdup.	Og nú tókst honum loksins almennilega upp.
One of them a pregnant woman. Bad news all around.	Hann drap þrjár manneskjur í vopnuðu ráni.
It's a tumor, Paul. A brain tumor.	Ein þeirra var þunguð kona. þetta eru ekki einu vondu fréttirnar. þetta er æxli, Paul.
They got x-ray pictures of it. It's the size of a lemon, they said.	Heilaæxli. þeir náðu röntgenmynd af því. það er á stærð við sítrónu, segja þeir.
And way down deep inside, where they can't operate.	Lengst inni í heilanum svo þeir geta ekki skorið það burt.
I haven't told her.	Ég er ekki búinn að segja henni þetta.
I can't think how.	Ég veit ekki hvernig ég á að gera það.
For the life of me, Paul I can't think how to tell my wife she's going to die. Oh, oh, God.	Ég segi það satt, Paul ég veit ekki hvernig ég á að segja konunni minni að hún sé að deyja.
Oh, God. I'm going.	Ég ætla að fara.
To see Dr. Bishop. I'm going. Today.	Ég ætla að fara til Bishops læknis í dag.
Soon as we get that new inmate squared away. That bad?	Er það svona slæmt?
Oh, yeah.	Ó, já.
The boy's doped to the gills.	Drengurinn er svona snardópaður.
Hand me them clothes.	Dean, réttu mér fötin.
William Wharton?	William Wharton?
You put on these clothes now.	Klæddu þig í, heyrirðu það?
We'll have to do this.	Við verðum að gera þetta.
Hellraiser, huh?	Óeirðaseggur?
Look more like a limp noodle to me. You've been declared competent, son.	Mér sýnist þú nú líkari soðinni núðlu. þú er talinn ábyrgur gerða þinna.
You know what that means? You're gonna ride the lightning.	Veistu hvað það þýðir? það þýðir að þú átt að sitja eldinguna.
Shut up, give us a hand.	Viltu þegja og hjálpa okkur?
Hellraiser.	Óeirðaseggur.
You don't look so good.	Stjóri, þú lítur ekki vel út.
Look like you're running you a fever.	Mér sýnist þú vera með hita.
Boss Edgecomb?	Edgecomb stjóri?
I needs to see you down here.	Ég þarf að tala við þig hérna, stjóri.
I got things to tend to, John Coffey.	Ég þarf að gera annað núna, John Coffey.
You just stay still in your cell.	Vertu bara rólegur í klefanum þínum.
Come on.	Komdu nú.
Hit him, Percy!	Sláðu hann, Percy.
Goddamn it! Hit him.	Fjandinn hafi það, sláðu hann!
Hit me, you limp noodle.	Sláðu mig, soðna núðlan þín.
Goddamn it, hit him!	Sláðu hann!
Come on, Percy.	Svona nú, Percy.
Hit me.	Sláðu hann.
I'm warning you.	Ég vara þig við.
You warning me? I'm warning you!	Ert þú að vara mig við?
You're warning me?!	Ert þú að vara mig við?
Shoot him!	Skjóttu hann!
Well, come on... You're a big fucker.	Gerðu það þá. þú ert stór djöfull.
Where 'd you come from?	Hvaðan komst þú?
Come on, Dean.	Svona, Dean, stattu upp.
Come on, boy, get up. All right.	Allt í lagi, andaðu bara.
Just breathe. Breathe.	Svona, andaðu.
Didn't see it coming.	Andaðu, drengur. - þetta kom mér að óvörum.
Come on, boy, breathe.	Svona, drengur.
Come on.	Andaðu.
Just breathe. We thought he was doped.	Við héldum að hann væri dópaður.
You go get Dean and Harry looked at.	Farðu og láttu lækni líta á Dean og Harry.
I've got the Mile till you all come back.	Ég sé um míluna þar til þið komið allir aftur.
Go on now.	Farið nú.
Go. Come on, boy.	Komdu, drengur.
Boss, I needs to see you down here.	Við skulum láta líta á þig.
This is not a good time, John Coffey not a good time at all.	Stjóri, ég þarf að tala við þig hérna. þetta er ekki heppilegur tími John Coffey, hreint ekki heppilegur tími.
But I needs to see you, boss.	En ég þarf að tala við þig, stjóri.
I needs to talk to you.	Ég þarf þess.
Closer.	Nær.
You know you ain't supposed to do that.	Stjóri, þú veist að þú mátt ekki gera svona.
Mind your business, Del.	Skiptu þér ekki af þessu, Del.
What do you want, John Coffey?	Hvað viltu, John Coffey?
Just to help it.	Bara að hjálpa.
Don't be afraid.	Ekki vera hræddur.
Help!	Hjálp!
Coffey's killing Boss Edgecomb!	John Coffey er að drepa Edgecomb stjóra!
What are you doing?	Hvað ertu að gera?
Boss Howell!	Howell stjóri!
Boss Stanton!	Stanton stjóri!
Somebody, come!	Einhver!
John Coffey's killing Boss Edgecomb!	John Coffey er að drepa Edgecomb stjóra!
Del, for chrissakes, shut up!	Del, í öllum bænum, þegiðu!
What did you just do to me?	Hvað gerðirðu við mig?
I helped it.	Ég hjálpaði.
Didn't I help it?	Hjálpaði ég ekki?
I just took it back, is all.	Ég tók það bara aftur.
Awful tired now, boss.	Ég er þreyttur núna.
Dog-tired.	Hundþreyttur.
Boss, what that man do to you?	Stjóri, hvað gerði maðurinn við þig?
Hey, honey.	Hæ, elskan.
How you feeling?	Hvernig er heilsan?
Oh, not too bad.	Ekki sem verst.
What did the doctor say? You know doctors.	Hvað sagði læknirinn? þú veist hvernig læknar eru.
Well, I know what it feels like.	Ég veit hvað mér finnst.
It feels great.	Mér finnst það frábært.
Not that I'm complaining but we haven't gone four times in one night since we were 19.	Ekki að ég sé að kvarta en við gerðum það síðast 4 sinnum á nóttu þegar við vorum nítján.
Yeah, we did, at your mom's.	Já, þegar mamma þín var hérna.
Wanna tell me what's going on?	Viltu segja mér hvað gengur á?
Well see, the thing is I never actually made it in to Dr. Bishop's yesterday.	Nú málið er það að ég komst aldrei til læknisins í gær.
Brutal, Paul.	Brutal, þetta er Paul.
Listen. I'm thinking of taking the morning off sick.	Heyrðu ég er lasinn og verð heima fyrir hádegi.
You cover the fort for me? That's swell.	Bjargar þú málunum? það er fínt.
Thanks.	Takk.
Yeah, I'm sure I'll feel better.	Já, ég er viss um að ég hressist við það.
You're sure you ought to do this?	Ertu viss um að þú eigir að gera þetta?
I'm not sure what I'm sure of. Burt, you got some company.	Ég er ekki viss um hvað ég er viss um. það er maður hér sem vill hitta þig.
Can I offer you a cold drink?	Viltu eitthvað kalt að drekka?
Yes, ma 'am. A cold drink would be fine.	Já, frú, það væri gott.
Thank you.	Takk fyrir.
Mr. Hammersmith, your office said I might find you at home. Hope I'm not troubling you.	Herra Hammersmith, mér var sagt að þú værir hér heima í dag.
Well, that depends, Mr...? Paul Edgecomb.	Ég vona að ég sé ekki að trufla þig. það fer eftir erindinu, herra...? Paul Edgecomb.
I'm E Block supervisor up on Cold Mountain.	Ég er yfirmaður E-álmunnar í Cold Mountain fangelsinu.
The Green Mile.	Græna mílan.
Yeah, I've heard of it.	Já, ég hef heyrt um hana.
Lost a few clients your way.	Hef misst nokkra kúnna til þín.
I 'd like to ask you about one.	Mig langar til að spyrja þig um einn þeirra.
Have a seat. Thank you.	Fáðu þér sæti.
Which client?	Hvern þeirra?
Now you got my curiosity aroused.	Úr því þú ert búinn að ná athygli minni.
John Coffey.	John Coffey.
Coffey.	Coffey.
Causing you problems?	Hefur hann verið til vandræða?
Can't say he is.	Nei, það get ég ekki sagt.
He doesn't like the dark and cries on occasion but other than that...	Hann er myrkfælinn og grætur stundum en fyrir utan það...
He cries, does he? Got a lot to cry about, I 'd say. You know what he did.	Ætli hann hafi ekki nóg að gráta yfir. þú veist hvað hann gerði.
I read the court transcript.	Ég las réttarskýrslurnar.
Thank you, missus.	Takk, frú.
My pleasure.	Mín er ánægjan.
Kids!	Krakkar!
Lunch is about ready.	Maturinn er að verða til!
Y 'all come on up.	Komið inn!
Coming, Mama!	Við erum að koma, mamma!
What exactly are you trying to find out?	Hvað viltu fá að vita?
I wonder if he did anything like that before.	Hvort hann hefur einhvern tímann gert eitthvað þessu líkt áður.
Why?	Af hverju?
Has he said anything?	Sagði hann eitthvað í þá átt?
No, but a man who does a thing like that has often developed a taste for it over time.	Nei, en menn sem gera svona hafa oft haft uppi tilburði til hins sama áður.
Even a giant like Coffey wouldn't get noticed everywhere.	Jafnvel risi eins og Coffey vekur ekki endilega eftirtekt.
Not until he kills a couple of little girls.	Ekki fyrr en hann drepur tvær litlar stúlkur.
He is strange, I admit.	Hann er einkennilegur, ég viðurkenni það.
But there doesn't seem to be any real violence in him.	En hann virðist ekki vera ofbeldishneigður.
I know violent men, Mr. Hammersmith. I deal with them day in and day out.	Ég veit hvernig ofbeldismenn hegða sér, herra Hammersmith.
You didn't come to ask me whether he killed before. You came to see if I think he did it at all.	Ég þarf að umgangast þá daginn út og daginn inn. þú komst ekki til að athuga hvort hann hefði kannski drepið áður. þú komst til að athuga hvort ég héldi að hann hefði gert þetta.
Do you?	Heldurðu það?
One seldom sees a less ambiguous case.	Annað er erfitt.
He was found with the victims in his arms.	Hann fannst með fórnalömbin í fanginu.
And yet you defended him. Everyone is entitled to a defense.	Og samt varðir þú hann. það eiga allir rétt á verjanda.
Lunch!	Matur!
Y 'all listen to your mama!	Viljið þið hlýða henni mömmu ykkar!
I'll tell you something.	Ég skal segja þér dálítið.
You listen close too, because it might be something you need to know.	Og þú skalt hlusta vel, því þetta gæti gagnast þér.
I'm listening.	Ég hlusta.
We had us a dog.	Við áttum hund.
Just a sweet mongrel. You know the kind.	Bara ljúfan blending. þú veist hvernig þeir eru.
Caleb, come here for a second.	Caleb, komdu aðeins.
Come here.	Komdu.
Please, son.	Gerðu það, vinur.
He still has the one good eye.	Annað augað er þó heilt.
I suppose he's lucky not to be completely blind.	Sennilega er hann heppinn að vera ekki alveg blindur.
We get down on our knees and thank God for that much at least.	Við þökkum Guði fyrir það.
Right, Caleb?	Ekki satt, Caleb?
Go on in, now.	Farðu inn.
That dog attacked my boy for no reason.	Hundurinn réðst á son minn að ástæðulausu.
Just got it in his mind one day. The same with John Coffey.	Bara fékk þá flugu í kollinn einn daginn. það sama gildir um John Coffey.
He was sorry afterwards. Of that I have no doubt.	Hann sá eftir þessu, ég er ekki í vafa um það.
But those little girls stayed raped and murdered.	En litlu stúlkunum hafði samt verið nauðgað og þær myrtar.
Maybe he 'd never done it before.	Kannski hefur hann aldrei gert þetta áður.
My dog never bit before.	Hundurinn minn hafi aldrei bitið áður.
But I didn't concern myself with that.	En það skipti mig engu.
I went out with my rifle, grabbed his collar and blew his brains out.	Ég fór út með riffilinn minn, greip í ólina hans og skaut hann.
Is Coffey guilty?	Er Coffey sekur?
Yes, he is.	Já, það er hann.
Don't you doubt it.	Vertu viss um það.
And don't you turn your back on him. You may get away with it once or even a hundred times but in the end you'll get bit. Oh, me! Oh, my!	Og ekki snúa í hann bakinu. það er kannski í lagi einu sinni, jafnvel hundrað sinnum en það kemur að því að þú verður bitinn.
I'm smelling me some corn bread. It's from my missus. She wanted to thank you.	Ég finn lykt af kornbrauði. það er frá konunni minni.
Thank me for what?	Hana langaði að þakka þér fyrir. þakka mér fyrir hvað?
Well, you know.	Nú, þú veist.
For helping me.	Fyrir að hjálpa mér.
Helping you with what? You know.	Hjálpa þér við hvað? þú veist.
Was your missus pleased?	Varð frúin ánægð?
Several times.	Nokkrum sinnum.
John, I can smell that from over here.	John, ég finn lyktina alveg hingað, það er alveg satt.
I surely can. Can I give Del and Mr. Jingles some? Well, it's yours, John. You can do with it as you please.	Má ég gefa Del og herra Jingles með mér? þetta er þitt brauð, John. þú mátt gera það sem þú vilt.
Here. This for Del and Mr. Jingles. Hey!	Hérna, þetta er handa Del og herra Jingles.
What about me?	En ég?
I'm gonna get some too, ain't I? It's yours, John.	Fæ ég ekki líka? þú átt það, John.
As you please.	Gerðu eins og þú vilt.
I think I'll just keep the rest, then.	Ég held að ég eigi þá bara afganginn.
Here come the boss man.	Kemur stjórinn okkar.
You'll keep a civil tongue on my block. You get that one for free.	Meðan þú ert hér skaltu tala kurteislega. það verður enginn eftirmáli af þessum hráka.
But that's the last one. That's it?	En hann er líka sá síðasti.
Just that little itty-bitty one? I guess I'm gonna have to pay you out for the rest.	Er þetta allt og sumt? þá fáið þið líka að kenna á mér með reglulegu millibili.
Good shot, weren't it?	Vel miðað, finnst þér ekki?
The look on your face! You believe this?	Sjá svipinn á þér? þetta er ótrúlegt.
That son of a bitch pissed on me.	Tíkarsonurinn meig á mig.
Be careful with that. That's fragile.	Farið varlega. þetta er brothætt.
What's it now?	Hvað nú?
Moving day?	Er verið að flytja?
Y 'all wanna come in here and dust a little? You can shine my knob for me while you're at it. You can come in here on your legs but you'll go out on your backs.	Viljið þið koma hingað inn og þurrka dálítið af? þið getið fægt á mér skaufann í leiðinni. þið komið kannski gangandi hérna inn en þið farið út aftur á börum.
Billy the Kid gonna guarantee you that.	Billy the Kid getur ábyrgst það.
