Publication detail	Nánar um útgáfu
The building cost index has been compiled since 1939, however the base has been changed five times, in 1955, 1975, 1983, 1987 and in 2010.	Vísitala byggingarkostnaðar hefur verið reiknuð frá árinu 1939 en síðan hefur verið skipt um grunn fimm sinnum, árin 1955, 1975, 1983, 1987 og 2010.
Statistics Iceland determines the base in consult with building professionals and experts.	Vísitalan er reist á þeim grunni sem Hagstofan ákveður að höfðu samráði við fagaðila og sérfræðinga í byggingariðnaði.
0.5 Users and application	0.5 Notendur og notkunarsvið
· To evaluate price changes in the construction industry	· við mat verðlagsbreytinga í byggingariðnaði,
· In updating fire insurance value of real estate for public institutions such as Icelandic Property Registry as well as insurance companies	· við uppfærslu á brunabótamati fasteigna, svo sem hjá Þjóðskrá Íslands eða tryggingarfélögum,
· In planning and cost estimation	· áætlanagerð og kostnaðarmat,
· Indexation of rent	· til verðtryggingar leigu.
0.6 Sources	0.6 Heimildir
The base of the index is the building cost of a particular "index house", which is an 18 apartment house in the capital area.	Grunnur vísitölunnar er byggður á kostnaði við ákveðið "vísitöluhús", sem er 18 íbúða fjölbýlishús á höfuðborgarsvæðinu.
Every month prices are surveyed in numerous firms and stores, which sell goods and services for construction.	Í hverjum mánuði er gerð verðkönnun hjá fjölda fyrirtækja og verslana sem selja vörur og þjónustu í byggingariðnaði.
Price quotations are reported electronically through web servers at Statistics Iceland.	Verðupplýsingum er skilað rafrænt í gegnum vefþjóna Hagstofu Íslands.
0.7 Legal basis for official statistics	0.7 Lagalegur grundvöllur fyrir hagskýrslugerð
The index is calculated according to act no 42/1987, and later amendments.	Vísitalan er reiknuð samkvæmt lögum nr. 42/1987 með síðari breytingum.
0.8 Response burden	0.8 Svarbyrði við innsöfnun
By collecting data electronically the response burden is minimised.	Með rafrænni gagnasöfnun er svarbyrði haldið í lágmarki.
Parties that report prices on few items list their prices in web forms at Statistics Iceland's website.	Aðilar sem veita upplýsingar um verð á fáum vörum skrá verð þeirra í eyðublöð á vefskilasvæði hjá Hagstofu Íslands.
Where more data is to be delivered parties are given the alternative to hand in electronic price quotations in attachments through the website, in which case the attachments must be finished according to Statistics Iceland's requirements.	Þegar um meira magn upplýsinga er að ræða er þeim gefinn kostur á að skila rafrænum verðtilboðum í fylgiskrám í gegnum vefskilasvæðið á stöðluðu formi skilgreindu af Hagstofunni.
The response burden is highest by the initialisation of a new base, when goods and services are chosen for quotations.	Svarbyrði er mest við gangsetningu nýs grunns, þegar vörur eru valdar til verðmælingar.
0.9 EEA and EU obligations	0.9 Ákvæði vegna EES og ESB
There are no regulations on building cost indices in EEA regulation.	Engin ákvæði eru um byggingarvísitölur í EES löggjöf.
1. Contents	1. Efni
1.1 Description of content	1.1 Efnislýsing
Geometrical means of price quotations are calculated.	Reiknuð eru margfeldismeðaltöl verðmælinga.
2. Time	2. Tími
2.1 Reference periods	2.1 Viðmiðunartími talnaefnis
The index is based on pricing in the middle of every month and counts for the month after calculation according to laws pertaining to the building cost index.	Vísitalan er reist á verðlagi um miðjan hvern mánuð og gildir fyrir mánuðinn eftir útreikningsmánuð skv. lögum um vísitölu byggingarkostnaðar.
2.2 Process time	2.2 Vinnslutími
The index is usually published on the fifth weekday from the beginning of price collection in the middle of each month.	Vísitalan er yfirleitt birt á fimmta virka degi frá því að verðsöfnun hófst um miðjan hvern mánuð.
2.3 Punctuality	2.3 Stundvísi birtingar
The release calendar for each year is published on the website of Statistics Iceland in November.	Útgáfuáætlun fyrir ár hvert er birt á vef Hagstofunnar í nóvember.
2.4 Frequency of releases	2.4 Tíðni birtinga
3. Reliability and security	3. Áreiðanleiki og öryggismörk
3.1 Accuracy and reliability	3.1 Nákvæmni gagna og áreiðanleiki
The index measures accurately all costs from building the index house.	Vísitalan mælir nákvæmlega allan kostnað við að byggja vísitöluhús frá grunni.
The index house is chosen based on how descriptive it is when it comes to general practises in building methods.	Húsið er valið þannig að það lýsi vel þeim byggingarháttum sem helst eru notaðir.
The selection of goods and services is subject to modification when new products replace older ones in the construction market.	Þannig getur vöruúrvalið í verðmælingunni tekið breytingum ef nýjar vörur taka við hlutverki einhverra sem fyrir eru.
The collection of goods and services measured in the index should therefore at any given time represent well building inputs being used within the construction industry.	Með þessu helst vörusafnið lifandi og lýsandi fyrir aðfanganotkun við húsbyggingar.
Nevertheless, the index is a fixed base index and all major changing tendencies in construction are only incorporated through a rebase of the index.	Þar sem vísitalan er fastgrunnsvísitala verða stærri breytingar á byggingarháttum þó aðeins teknar inn í gegnum grunnskipti.
Labour costs are estimated using wage contracts for employees in the building industry.	Vinnuliðir vísitölunnar eru byggðir á mati á kjarasamningum sem gilda hjá starfsfólki í byggingariðnaði.
3.2 Sources of errors	3.2 Skekkjuvaldar í gögnum
Coverage error: The base for the building cost index is an actual apartment house.	Magngrunnsskekkja: Raunverulegt hús liggur til grundvallar magngrunni.
It is chosen to be representative of current building techniques; however, constructions inevitably vary in one way or another from the index house.	Húsið er valið þannig að það lýsi vel þeirri byggingartækni sem helst er notuð á þeim tíma sem valið fer fram.
Measurement errors: The risk of measurement errors occurring is greatest when new individuals take over the responsibility of submitting price data.	Mæliskekkjur: Hættan á mæliskekkjum er mest þegar þjálfa þarf nýja einstaklinga til að veita upplýsingar um verð.
In most cases price measurements are directly linked to the seller's product numbers, so the probability of wrong prices being reported is not high.	Í flestum tilfellum eru verðmælingar tengdar vörunúmerum í rekstrarkerfum verslana og dregur það úr hættu á að sótt sé rangt verð vöru.
With many sellers reporting prices via web forms there is always a risk of typing errors occurring.	Þar sem verðgjafar skrá verð inn í vörulista í vefeyðublöðum er hætta á innsláttarvillum.
Processing errors: As price data is received electronically, the risk of typing errors during processing is diminished.	Úrvinnsluskekkjur: Með rafrænni gagnasöfnun er hættan á skráningarskekkjum lágmörkuð.
Price data is imported directly into a data base where further processing occurs.	Upplýsingar um verð eru lesnar beint inn í gagnagrunn og þaðan er unnið úr þeim án þess að átt sé frekar við þær.
4. Comparison	4. Samanburður
4.1 Comparison between periods	4.1 Samanburðarhæfi milli tímabila
Easy within index base time.	Samanburður er auðveldur innan grunntíma.
Index numbers are comparable between bases by chaining.	Vísitölustig eru samanburðarhæf milli grunna með keðjutengingu.
Changes to methodology, significant changes to classification, and considerable changes to materials and methods in the construction industry can reduce comparability over longer periods.	Aðferðarfræðibreytingar, stórfelldar flokkunarbreytingar og miklar breytingar á efnum og aðferðum í byggingariðnaði geta minnkað samanburðarhæfi til lengri tíma litið.
4.2 Comparison with other statistics	4.2 Samanburður við aðrar hagtölur
No comparison of the building cost index and other indices has been carried out.	Ekki hefur verið gerður samanburður á byggingarvísitölu og öðum vísitölum
4.3 Coherence between preliminary and final statistics	4.3 Samband milli bráðabirgðatalna og lokatalna
Preliminary statistics are not published.	Bráðabirgðatölur eru ekki birtar.
This year there are no students younger than 15 years old in the dataset.	Á þessu ári er enginn nemandi yngri en 15 ára í nemendaskránni.
One 14 year old student is counted in this category with the 15 year olds.	Einn 14 ára nemandi er talinn hér með 15 ára nemendum í nemendaskránni.
Two 14 year old students are counted in this category with the 15 year olds.	Tveir 14 ára nemendur eru taldir hér með 15 ára nemendum í nemendaskránni.
Three students younger than 15 are counted in this category with the 15 year olds.	Þrír nemendur yngri en 15 ára eru taldir hér með 15 ára nemendum í nemendaskránni.
One 14 year old student is counted in this category with the 15 year olds.	Tveir 14 ára nemendur eru taldir hér með 15 ára nemendum í nemendaskránni.
Less than 10,000 spectators to every other Icelandic film	Önnur hver íslensk kvikmynd með innan við 10.000 áhorfendur
16. July 2015	16. júlí 2015
Attendance to one of every two 87 Icelandic full length-features¹ premiered and released for cinema running in the years 1996-2013 did not exceed 10,000.	Um helmingur af þeim 87 íslensku leiknu kvikmyndum í fullri lengd¹ sem frumsýndar voru á árunum 1996-2013 og teknar voru til almennra sýninga í kvikmyndahúsum fékk innan við 10.000 sýningargesti.
Average number of spectators to domestic films premiered in the years 1996-2013 was 17,406.	Gestafjöldi að meðaltali á hverja frumsýnda mynd á árunum 1996-2013 var 17.406.
Attendance to half of the number of films was less than 10,692.	Hins vegar var aðsókn að helmingi myndanna innan við 10.692 gestir.
Popularity of individual films among cinema visitors is highly uneven.	Aðsókn að einstökum myndum er afar ójöfn.
Usually, one or two films concentrate most of the attendance in each year.	Algengast er að ein eða tvær kvikmyndir sópi til sín stórum hluta aðsóknarinnar á hverju ári.
The distribution of admissions is shown in table 1.	Hvernig aðsóknin dreifist á milli mynda er sýnt í töflu 1.
Distribution of admissions to Icelandic full-length features premiered 1996-2013	Dreifing áhorfenda á leiknar íslenskar kvikmyndir í fullri lengd frumsýndum 1996-2013
Admissions	Fjöldi áhorfenda
According to Eurostat procedures the years of the table refer to the survey year, the year the survey was implemented.	Í samræmi við vinnubrögð Eurostat, hagstofu ESB, miða ártölin í töflunni við könnunarár, það ár sem lífskjararannsóknin er gerð.
The income reference period is the previous tax year.	Upplýsingar um tekjur koma úr skattskrám ársins á undan.
Work intensity is calculated by adding the total number of months of the year that the adults of the household were working and devide that number with the total number of months the adults of the household could possibly work (12 for each person).	Vinnuhlutfallið er reiknað þannig að fjölda mánaða innan ársins sem fullorðnir einstaklingar á hverju heimili voru í vinnu er deilt með 12 eða heildarfjölda mánaða hvers árs.
Take for instance a home woth two adults.	Sem dæmi má nefna heimili með tveimur fullorðnum einstaklingum.
If both adults work 12 months a year the work intensity is (12+12) / (12+12) *100 = 100%.	Ef báðir voru í vinnu 12 mánuði ársins þá er hlutfallið (12+12) / (12+12) * 100 eða 100%.
The EU-SILC is a sample survey which must be taken into account when looking at the results.	Lífskjararannsóknin byggist á úrtaki og því þarf að gera ráð fyrir ákveðinni óvissu í niðurstöðum.
In order to evaluate the uncertainty due to sampling error confidence interval is calculated (CI).	Til að meta óvissuna eru reiknuð vikmörk (e. confidence interval) fyrir niðurstöður rannsóknarinnar.
The interval reaches equally far below and above the number it applies to and is added to and subtracted from the number.	Vikmörkin ná jafnlangt upp fyrir og niður fyrir töluna og eru lögð við töluna og dregin frá henni.
When comparing two numbers in order to see if the difference between them is large enough to be statistically significant one needs to look a the confidence interval of both numbers and see if they cross each other.	Þegar tvær tölur eru bornar saman til að athuga hvort munurinn á þeim sé nægjanlega mikill til að teljast tölfræðilega marktækur þarf að athuga hvort vikmörk beggja talna skarist.
