Closing the Loop for ALMA	ALMA nær mikilvægum áfanga
Embedded in this scenic nebula is one of the most luminous and most compact clusters of young, massive stars in our Milky Way, which therefore serves as an excellent “local” analogue of very active star-forming regions in other galaxies.	Í þessari fallegu þoku er ein bjartasta og þéttasta þyrping ungra, massamikilla stjarna í Vetrarbrautinni okkar, sem er þar af leiðandi kjörin nálæg hliðstæða mjög virkra stjörnumyndunarsvæða í öðrum vetrarbrautum.
The cluster also hosts the most massive star to be “weighed” so far.	Í þyrpingunni er massamesta stjarna sem hefur verið „vigtuð“ hingað til.
NGC 3603 is a starburst region:	NGC 3603 er hrinusvæði;
a cosmic factory where stars form frantically from the nebulas extended clouds of gas and dust.	verksmiðja í alheiminum þar sem stjörnur myndast í gríð og erg úr gas- og rykskýjum þokunnar.
Located 22 000 light-years away from the Sun, it is the closest region of this kind known in our galaxy, providing astronomers with a local test bed for studying intense star formation processes, very common in other galaxies, but hard to observe in detail because of their great distance from us.	Þyrpingin er í 22.000 ljósára fjarlægð frá sólinni en er engu að síður nálægasta svæði sinnar tegundar í Vetrarbrautinni og gerir stjörnufræðingum kleift að rannsaka öfluga stjörnumyndun í nágrenni okkar. Samskonar svæði eru algeng í öðrum vetrarbrautum en erfitt að er rannsaka þau náið vegna mikillar fjarlægðar frá okkur.
The nebula owes its shape to the intense light and winds coming from the young, massive stars which lift the curtains of gas and clouds revealing a multitude of glowing suns.	Þokan á lögun sína að þakka sterku ljósi og öflugum vindum frá ungum, massamiklum stjörnum sem svipta gas- og rykhulunni af aragrúa skínandi stjarna.
The central cluster of stars inside NGC 3603 harbours thousands of stars of all sorts (eso9946):	Í stjörnuþyrpingunni í NGC 3603 eru þúsundir stjarna af öllum stærðum og gerðum (eso9946); meirihlutinn álíka massamiklar eða massaminni en sólin okkar.
the majority have masses similar to or less than that of our Sun, but most spectacular are several of the very massive stars that are close to the end of their lives.	Tilkomumestar eru þó nokkrar mjög þungar stjörnur sem nálgast endalok ævi sinnar.
Several blue supergiant stars crowd into a volume of less than a cubic light-year, along with three so-called Wolf-Rayet stars - extremely bright and massive stars that are ejecting vast amounts of material before finishing off in glorious explosions known as supernovae.	Á stað sem er innan við eitt ljósár á rýmd þjappa nokkrir bláir reginrisar sig saman auk þriggja svonefndra Wolf-Rayet stjarna en það eru óhemju bjartar og massamiklar stjörnur sem varpa miklu magni efnis frá sér áður en þær enda ævi sína sem sprengistjörnur.
Using another recent set of observations performed with the SINFONI instrument on ESOs Very Large Telescope (VLT), astronomers have confirmed that one of these stars is about 120 times more massive than our Sun, standing out as the most massive star known so far in the Milky Way [1].	Aðrar nýlegar athuganir með SINFONI mælitækinu á Very Large Telescope (VLT) ESO hafa staðfest að ein þessara stjarna er um 120 sinnum massameiri en sólin okkar og því massamesta stjarna sem þekkist í Vetrarbrautinni [1].
The clouds of NGC 3603 provide us with a family picture of stars in different stages of their life, with gaseous structures that are still growing into stars, newborn stars, adult stars and stars nearing the end of their life.	Skýjahula NGC 3603 birtir okkur sannkallaða fjölskyldumynd af stjörnum á ólíkum þroskastigum. Þarna eru stjörnur enn í mótun innan um nýmyndaðar stjörnur, fullorðnar stjörnur og stjörnur sem nálgast ævilok sín.
All these stars have roughly the same age, a million years, a blink of an eye compared to our five billion year-old Sun and Solar System.	Allar eru þær álíka gamlar, um milljón ára, augnabliksgamlar miðað við að sólin og sólkerfið okkar er fimm milljarða ára.
The fact that some of the stars have just started their lives while others are already dying is due to their extraordinary range of masses: high-mass stars, being very bright and hot, burn through their existence much faster than their less massive, fainter and cooler counterparts.	Mismikill massi er ástæða þess að sumar þessara stjarna eru rétt að hefja ævi sína á meðan aðrar eru þegar í andarslitrunum: heitar og bjartar hámassastjörnur brenna eldsneyti sínu miklu hraðar en massaminni, daufari og kaldari stjörnur.
The newly released image, obtained with the FORS instrument attached to the VLT at Cerro Paranal, Chile, portrays a wide field around the stellar cluster and reveals the rich texture of the surrounding clouds of gas and dust.	Þessi nýja mynd var tekin með FORS mælitækinu á VLT á Cerro Paranal í Chile. Hún sýnir svæðið í kringum stjörnuþyrpinguna og þau tilkomumiklu gas- og rykþokur sem þar eru.
Notes	Skýringar
[1] The star, NGC 3603-A1, is an eclipsing system of two stars orbiting around each other in 3.77 days.	[1] Stjarnan, NGC 3603-A1, er myrkvatvístirni, þ.e. tvær stjörnur á hringsóli um hvor aðra á aðeins 3,77 dögum.
The most massive star has an estimated mass of 116 solar masses, while its companion has a mass of 89 solar masses.	Massi stærri stjörnunnar er áætlaður 116 sólmassar en fylgihnötturinn er líklega 89 sólmassar.
Orion in a New Light	Óríon í nýju ljósi
VISTA exposes high-speed antics of young stars	VISTA sýnir skrípalæti ungra stjarna
The Orion Nebula reveals many of its hidden secrets in a dramatic image taken by ESOs new VISTA survey telescope.	Á þessari glæsilegu mynd sem tekin var með VISTA, nýjum kortlagningarsjónauka ESO, er hulunni svipt af fjölmörgum leyndardómum Sverðþokunnar í Óríon.
The telescopes huge field of view can show the full splendour of the whole nebula and VISTAs infrared vision also allows it to peer deeply into dusty regions that are normally hidden and expose the curious behaviour of the very active young stars buried there.	Vítt sjónsvið sjónaukans gerir honum kleift að ljósmynda þokuna í heild sinni og með innrauðri sjóna sinni skyggnist hann djúpt inn í ryksvæði sem venjulega eru okkur hulin og leiðir þannig í ljós áhugaverða hegðun mjög ungra og virkra stjarna sem þar leynast.
VISTA - the Visible and Infrared Survey Telescope for Astronomy - is the latest addition to ESOs Paranal Observatory (eso0949).	VISTA - the Visible and Infrared Survey Telescope for Astronomy - er nýjasti sjónaukinn í Paranal stjörnustöð ESO (eso0949).
It is the largest survey telescope in the world and is dedicated to mapping the sky at infrared wavelengths.	Hann er stærsti kortlagningarsjónauki heims og er tileinkaður kortlagningu himins á innraðum bylgjulengdum.
The large (4.1-metre) mirror, wide field of view and very sensitive detectors make VISTA a unique instrument.	Stór spegill (4,1 metri), vítt sjónsvið og mjög næm mælitæki gera VISTA að einstöku vísindatæki.
This dramatic new image of the Orion Nebula illustrates VISTAs remarkable powers.	Þessi nýja og glæsilega mynd af Sverðþokunni í Óríon sýnir einstaka getu sjónaukans.
The Orion Nebula [1] is a vast stellar nursery lying about 1350 light-years from Earth.	Sverðþokan í Óríon [1] er risastórt stjörnumyndunarsvæði í um 1.350 ljósára fjarlægð frá jörðinni.
Although the nebula is spectacular when seen through an ordinary telescope, what can be seen using visible light is only a small part of a cloud of gas in which stars are forming.	Þokan er mjög tilkomumikil að sjá í gegnum venjulegan sjónauka en það sem sést í sýnilegu ljósi er aðeins lítill hluti gasskýsins sem stjörnurnar verða til úr.
Most of the action is deeply embedded in dust clouds and to see what is really happening astronomers need to use telescopes with detectors sensitive to the longer wavelength radiation that can penetrate the dust.	Mesti hasarinn er leynist djúpt innan í rykskýjum og til að sjá hvað þar er um að vera verða stjörnufræðingar að nota sjónauka sem greina lengri bylgjulengdir ljóss sem getur ferðast í gegnum ryk.
VISTA has imaged the Orion Nebula at wavelengths about twice as long as can be detected by the human eye.	Ljósmynd VISTA af Sverðþokunni sýnir tvöfalt lengri bylgjulengdir en greina má með berum augum.
As in the many visible light pictures of this object, the new wide field VISTA image shows the familiar bat-like form of the nebula in the centre of the picture as well as the fascinating surrounding area.	Á þessari nýju mynd VISTA sést vel það kunnuglega leiðurblökumynstur í miðri þokunni sem sést líka á mörgum myndum teknum í sýnilegu ljósi og áhugaverð svæði í kring.
At the very heart of this region lie the four bright stars forming the Trapezium, a group of very hot young stars pumping out fierce ultraviolet radiation that is clearing the surrounding region and making the gas glow.	Í miðju þessa svæðis mynda fjórar bjartar stjörnur trapisuna, hóp ungra og heitra stjarna sem gefa frá sér mikla og sterka geislun sem hreinsar svæðið í kring og veldur því að gasið glóir.
However, observing in the infrared allows VISTA to reveal many other young stars in this central region that cannot be seen in visible light.	Innrauðar mælingar VISTA sýna auk þess margar aðrar ungar stjörnur á þessu svæði sem ekki er hægt að greina í sýnilegu ljósi.
Looking to the region above the centre of the picture, curious red features appear that are completely invisible except in the infrared.	Rétt fyrir ofan miðja mynd sést áhugavert rautt svæði sem er algjörlega ósýnilegt nema í innrauðu ljósi.
Many of these are very young stars that are still growing and are seen through the dusty clouds from which they form.	Þar glittir í margar mjög ungar stjörnur sem enn eru að vaxa úr rykskýinu sem umlykur þær.
