No more murders!	Ekki fleiri morð!
So, he wasn't eligible.	Svo hann kom ekki til greina.
That's pretty amazing, then, that he won.	Þá er ótrúlegt að hann hafi unnið.
Because, usually you have to do some sort of... kids-type thing to win that award.	Því vanalega þarf að taka þátt í leikjum til að fá verðlaun.
It feels like cum. Ew.	Þetta er eins og sæði viðkomu.
I dare anyone to touch it and tell me it doesn't feel like cum.	Ég mana ykkur að snerta það og neita því.
May I?	Má ég?
Yeah, that's cum.	Já, þetta er sæði.
Well, it's green.	En það er grænt.
It's not cum, it feels like cum.	Það er bara eins viðkomu.
The texture, the flavor, the color, the consistency.	Áferðin, bragðið, liturinn, þéttleikinn.
It's very cum-like.	Það er mjög líkt.
Hey, guys, check this out.	Sjáið þetta.
I found something.	Ég fann dálítið.
What is it?	Hvað er þetta?
I don't know.	Ég veit það ekki.
It looks like a big, silver basketball or something.	Það er eins og stór, silfurlitur körfubolti.
What is it?	Hvað er þetta?
It looks like a toy.	Það líkist leikfangi.
What the fuck is that?	Hver fjandinn er þetta?
What is going on up here?	Hvað gengur á hérna?
We got company.	Það er einhver að koma.
What in the hell are you people doing in my yard?	Hvernig fjandann eruð þið að gera í garðinum mínum?
Hi.	Fyrirgefðu.
Sorry, we're the Neighborhood Watch.	Við erum nágrannavaktin.
We're just out on a nightly patrol.	Við erum bara í eftirlitsferð.
How are you doing?	Sæll.
I'm Evan Trautwig.	Evan Trautwig.
I got your neighborhood watch right here, sweet lips.	Ég er með nágrannavaktina hérna, ljúfan.
We're on your side, sir.	Við stöndum með þér.
We're just wondering if you heard anything strange... or just anything out of the ordinary tonight.	Þú hefur kannski heyrt einhver undarleg hljóð eða séð eitthvað óvenjulegt í kvöld?
You mean like four nitwits... standing around on my lawn in the middle of the night?	Eins og fjóra hálfvita á lóðinni minni um miðja nótt?
That's kind of strange, don't you think?	Er það ekki dálítið undarlegt?
If being overly aggressive and a little bit snippy was a crime... I 'd be making a citizen's arrest right now.	Ef það teldist glæpur að vera frekur og hortugur væri ég að handtaka þig núna.
Why don't you just shut your cocksucker there, dickweed?	Viltu ekki bara halda kjafti, skíthællinn þinn?
We're taking time out of our busy schedules to help the neighborhood... so, I think you could just...	Við verjum dýrmætum tíma okkar til að hjálpa til í hverfinu svo mér finnst að þú...
Excuse me. I got a phone call, here.	Afsakið, það er hringt í mig.
Hey, Bill."	Sæll, Bill.
I'm going to count to ten!	Ég tel upp að tíu. Eigum við ekki að byrja upp á nýtt?
He wants to count.	Ég tel upp að tíu! Hann vill telja.
Steal that cool ball.	Steldu flotta boltanum.
Two.	Tveir.
Three.	Þrír.
Nice to meet you.	Gaman að kynnast þér.
Fuck you, Curly.	Andskotinn hafi þig, Krulli.
Four.	Fjórir.
Get in your goddamn soccer mom van and move on out.	Hunskist inn í fjandans konubílinn og farið burt.
Neighborhood Watch, what a fucking joke.	Nágrannavakt, djöfulsins brandari.
Look at this.	Sjáið þetta.
Every time I stick a finger in, another light goes off.	Þegar ég set fingur inn slokknar eitthvert ljósið.
That's weird.	Það er skrýtið.
Why don't we try to stick all our fingers in at the same time and see what happens?	Setjum allir fingurna í holurnar samtímis og sjáum hvað gerist.
All right, guys, let's all finger these holes together.	Allt í lagi, stingum allir inn fingri samtímis.
This is a bad idea.	Þetta er slæm hugmynd.
Don't be such a pussy, Jamarcus.	Vertu ekki svona mikil gunga, Jamarcus.
Come over here and finger-bang this ball with us.	Komdu og þuklaðu boltann með okkur.
I don't like this.	Mér líst ekki á þetta.
Come on, Jamarcus.	Komdu, Jamarcus.
Fine, but this is a bad idea.	Þá það, en þetta er slæm hugmynd.
Get your finger in there.	Inn með fingurinn.
Whoa! Jesus!	Jesús minn!
Holy shit!	Andskotinn!
Are you kidding me?	Ertu að grínast?
Did you see that shit?	Sáuð þið þetta?
That cow's fucking head exploded.	Hausinn á beljunni sprakk.
That's terrible for the cow but this thing's fucking awesome.	Það var hræðilegt fyrir kúna en þetta er æðislegt.
This is a major find.	Þetta er merkilegur fundur.
This thing is the shit!	Þetta er rosalegt!
Okay, nobody touches this ball until we figure out what it is.	Enginn snertir boltann fyrr en við vitum hvað þetta er.
We definitely should not fuck around with this thing.	Við ættum ekki að leika okkur að þessu.
The last thing we want to do is cause a disturbance.	Við viljum alls ekki valda ónæði.
Goodbye, tractor! Yeah!	Bless, dráttarvél!
Hay, yeah! Hay, now!	Og heyið núna!
Hey, great.	Frábært.
That's hilarious, that was so fun.	Þetta var skemmtilegt.
We blew that shit up.	Við sprengdum það í loft upp.
That cow's fucking head just poofed, just puffed.	Hausinn á kúnni leystist bara upp.
Guys, this is not from this world.	Þetta er ekki úr þessum heimi.
I think it could be the government.	Ég held að ríkisstjórnin eigi það.
There are lots of these kind of prototypes that you find.	Það finnast oft alls konar frumgerðir.
It's always the government.	Ríkið á þær alltaf.
I don't disagree that there could be a government... or an alien or where governments and aliens connect.	Ég neita því ekki að það gæti verið í eigu ríkisins eða geimvera eða sameign ríkisins og geimvera.
Get the fuck out of here, man.	Hvaða vitleysa.
They're not aliens.	Það eru ekki geimverur.
I think you're paranoid.	Þú ert vænisjúkur. Nei.
Everything's on the table.	Allt kemur til greina.
It was probably on the way to the Mac Store and fell off the truck.	Það var líklega á leið í Mac-búðina og datt af bílnum.
This is like a magical 8-Ball, bowling ball that blows shit up.	Þetta er eins og töfrakúla sem sprengir dót.
I'm trying to find a killer, here.	Ég er að leita að morðingja. Já.
Right. A killer alien.	Geimverumorðingja.
Somebody killed Antonio, okay?	Einhver myrti Antonio.
I don't know if they're an alien. I don't know if it was an octopus.	Ég veit ekki hvort það var geimvera eða kannski kolkrabbi.
I don't know what it was... or who it was, but this has something to do with it, right?	Ég veit ekki hvað eða hver það var en þetta tengist því.
That's a yes.	Örugglega.
We don't know what it is.	Við vitum ekki hvað það er.
That's a correct as well.	Það er líka rétt.
It's the same goo that was on Antonio's body.	Þetta er sama slímið og var á Antonio.
This is information you're sharing and I'll say "yes" to it.	Þú deilir þessum upplýsingum og ég segi já.
The goo was on the car.	Slímið var á bílnum.
The orb was near the car.	Diskurinn var nærri bílnum.
Let's call her Lucy.	Köllum þetta Lucy.
The second after we find...	Strax eftir að við fundum...
Lucy... who kicks us off his property?	Lucy hver rak okkur af lóðinni sinni?
Crazy old guy with a shotgun.	Brjálaður karl með riffil.
Why did he want us off his property?	Af hverju vildi hann koma okkur burt?
Why did he not want us near the ball or the goo?	Af hverju vildi hann ekki að við kæmum nálægt boltanum eða slíminu?
We have got to kick his tires.	Við verðum að skoða hann betur.
There's something we have to figure out.	Hér býr eitthvað að baki.
I think we dress Franklin up as a girl named Francesca.	Við skulum dulbúa Franklin sem stelpu sem heitir Francesca.
He goes to the door as a salesman because they'll suspect him any other way.	Hann bankar hjá honum sem sölukona svo hann gruni ekkert.
He's pretty enough.	Hann er nógu sætur.
I'm listening.	Ég hlusta.
He's an attractive guy and he has the features where he can fool them.	Hann er aðlaðandi og andlitsdrættirnir geta blekkt hann.
Feminine features.	Kvenlegir andlitsdrættir.
We put Franklin in a costume to befriend the old man.	Við dulbúum Franklin svo hann geti vingast við gamla manninn.
He lets Franklin in the house.	Hann opnar fyrir Franklin.
Boom, he's in!	Hann fer inn!
Can I tell you something, Bob?	Má ég segja þér dálítið, Bob?
That could work.	Það gæti gengið.
Yes!	Já!
I will use both hands. I won't use a mouth.	Ég skal nota báðar hendur, en ekki munninn.
He may use his hands and may not use his mouth.	Hann má nota hendurnar, en ekki munninn.
I think you got to make it all go down before you get found out.	Þú þarft að fá upplýsingar áður en það kemst upp um þig.
What's the best case on this one?	Hvernig færi það í besta falli?
Here's the best case scenario.	Ég skal segja þér það.
He's a lonely old man, he wants to waltz.	Hann er einmana gamlingi og langar að dans vals.
He wants to listen to some of the old songs from his childhood.	Hann vill heyra lög úr bernskunni.
Worst case scenario, you're getting fucked in the ass.	Í versta falli tæki hann þig í afturendann.
Either way, we're going to find out who this old guy is.	Í öllu falli komumst við að því hver karlinn er.
Either way, we're going to get involved in this guy's life.	Í öllu falli fáum við að vita um líf þessa karls.
Here's the pressing question. What do we do with this?	En spurningin núna er hvað við gerum við þetta?
We don't give it to the cops.	Við látum lögguna ekki hafa það.
Agreed.	Sammála.
Good for Mandy.	Gott fyrir Mandy.
Fricking kidding me, right?	Ertu ekki að grínast?
Chelsea!	Chelsea!
Dad, what the eff!	Hver andsk...
Don't "eff" me.	Ekkert "andsk" við mig.
Who's this boy toy named Jason?	Hver er þessi leikfangastrákur Jason?
Boy toy?	Leikfangastrákur?
What's his toy story?	Hver er hans leikfangasaga?
Wait, were you creeping on my Facebook again?	Varstu enn að snuðra á Fésbókinni minni?
Are you kidding me?	Ertu að grínast?
You're going to let some guy carwash the inside of your mouth... with his tongue, and then you're going to post it on the Internet?	Leyfirðu strák að troða tungunni upp í munninn á þér og setur það svo á netið?
Stop internet-stalking me, okay?	Hættu að njósna um mig á netinu.
Just get out of my room.	Farðu út úr herberginu mínu.
You don't see me and your mom posting our sessions on the Internet? Ew!	Ekki setjum við mamma þín okkar kelerí á netið.
That's disgusting!	Það er ógeðslegt.
How do you think that makes me feel?	Hvað heldurðu þá að mér finnist?
It is disgusting.	Það er ógeðslegt.
You keep your tongue in your mouth.	Hafðu tunguna í munninum á þér.
And what's going on with this collage?	Og hvað er með þessa klippimynd?
This is moving in the direction of strippers on spring break.	Á þetta skylt við nektardans eða vorfrí?
That's a collage of my friends, Dad.	Þetta eru vinkonur mínar.
The whole thing is uncomfortable.	Þetta er allt mjög óþægilegt.
I'm not comfortable with what's going on, Chelsea.	Ég er ekki sáttur við það sem er að gerast.
Come on, I saved a seat for you.	Ég tók frá sæti fyrir þig.
You said you were desperate.	Þú sagðist vera örþrifa ráða.
Here, take a load off.	Komdu og sestu.
Look, I know we're trying to catch the Costco killer, but... it's good to have an honest heart-to-heart with just a couple of guys, right?	Ég veit að við viljum ná Costco morðingjanum... en það er gott að að tala hreint út, bara við tveir.
Mmm. I've been being honest with my daughter, I don't think she wants to hear it.	Ég var hreinskilinn við dóttur mína, hún vill víst ekki heyra það.
My wife's been travelling so much for work... that a lot of the parenting stuff has fallen on me lately.	Konan mín hefur ferðast mikið vegna vinnunar svo ég hef þurft að annast foreldrahlutverkið að mestu.
How about you?	Hvað með þig?
When are you going to take the plunge and knock a few out?	Hvenær ætlarðu að hella þér í að búa til nokkra krakka?
It's not that simple.	Það er ekki svo einfalt.
Well, it's about as simple as putting your dick in a vagina.	Það er jafn einfalt og að setja typpi í píku.
It turns out that my gun... doesn't really... shoot too well.	Það kom í ljós að byssan mín skýtur ekki nógu vel.
Gun?	Byssa?
You mean your prick?	Meinarðu skaufinn á þér?
Why are you saying "gun"?	Af hverju segirðu byssa?
It's just two guys, sitting on a bench.	Við erum tveir gaurar á bekk.
You can say it.	Þú getur sagt það.
I know a guy that'll give you some, and I got some from Mexico...	Ég þekki mann sem á töflur og ég fékk nokkrar frá Mexíkó.
That's not the problem.	Það er ekki vandamálið.
I'll get you some of those Mexican bombs.	Ég útvega þér mexíkóskar bombur.
I can do everything.	Ég get gert allt.
It's just that...	Málið er bara...
About a year and a half ago... Okay.... Abby and I started trying to have kids.	Fyrir hálfu öðru ári... byrjuðum við Abby að reyna að eignast börn.
And nothing was happening.	Ekkert gerðist.
So, on my own, I went to see this doctor to get my sperm checked.	Svo ég fór til læknis og lét skoða sæðið í mér.
I've always wondered about that.	Ég hef alltaf velt fyrir mér hvernig það fer fram.
I've had a curiosity, if you don't mind.	Þegar maður fer til svona læknis...
When you go to one of those doctors... do you jerk yourself off, or does the doctor jerk you off?	Fróarðu þér sjálfur eða gerir læknirinn það?
Or an assistant?	Eða aðstoðarkona?
Is it like a massage parlor?	Er það eins og nuddstofa?
Or do they have a medical machine that does the milking for you?	Eða hafa þeir vél sem mjólkar mann?
Like, milks you like an animal.	Eins og að mjólka skepnur?
I'm asking how you get the cum out of you.	Hvernig ná þeir sæðinu úr þér?
I...	Ég...
They do it.	Gera þeir það?
No, I jerk me off. Okay.	Nei, ég fróa mér.
Doesn't matter.	Það skiptir engu.
The point is, I went, I got tested.	Málið er að ég fór í prufu.
And... no go.	Og... ekki neitt.
I'm shooting blanks.	Ég skýt púðurskotum.
I could shoot a bucketful, it would make no difference.	Ég gæti skotið fullri fötu, það myndi samt ekki gagna.
