Step aside.	Farið frá.
[ Angel of Music, ] [ Guide and guardian. ]	Hljómanna engill og skæra leiðarljós.
[ Grant to me your glory. ]	Vísa mér að vegsemd þinni.
[ Who is this angel? ]	Hver er þessi engill?
I think we've made quite a discovery with Miss Daae!	Við uppgötvuðum ungfrú Daae heldur betur.
Perhaps we could present her to you, dear Vicomte?	Við getum kannski kynnt hana fyrir yður, kæri greifi.
Gentlemen, this is one visit I should prefer to make unaccompanied.	Ég kýs að fara einn í þessa heimsókn, herrar mínir.
But thank you.	En þakka ykkur samt fyrir.
It would appear they've met before.	Þau virðast hafa hist áður.
Yes.	Já.
Little Lotte let her mind wander...	Lotta litla lét hugann reika.
Little Lotte thought am I fonder of dolls or of goblins or shoes? Or of riddles, or frocks? Those picnics in the attic. Or of chocolates?	Lotta litla hugsaði með sér hvort henni þætti vænna um álfana eða skóna, gáturnar eða kjólana, þessar ferðir upp á háaloft eða súkkulaði.
Father playing the violin. As we read to each other dark stories of the North.	Pabbi lék á fiðluna meðan við lásum drungalegar sögur um norðrið.
You sang like an angel tonight.	Þú söngst eins og engill í kvöld.
Father said When I'm in heaven, child I will send the Angel of Music to you.	Pabbi sagði: Þegar ég kem til himna sendi ég þér hljómanna engil.
Well, father is dead, Raoul and I have been visited by the Angel of Music.	Pabbi er dáinn, Raoul, og hljómanna engill bauð mér.
No doubt of it.	Enginn vafi á því.
And now we go to supper.	Og nú förum viði kvöldmat.
No, Raoul.	Nei, Raoul.
The Angel of Music is very strict.	Hljómanna engill er mjög strangur.
Well, I shan't keep you up late.	Ég leyfi þér að fara snemma.
Raoul, no.	Nei, Raoul.
You must change.	Þú verður að hafa fataskipti.
I'll order my carriage, Little Lotte.	Ég panta vagninn, Lotta litla.
No. Raoul, wait!	Bíddu, Raoul!
[ Lnsolent boy, ] [ This slave of fashion ] [ Basking in your glory! ]	Ósvífni piltur, þessi tískunnar drós, Baðar sig í frægðarljóma þínum.
[ Ignorant fool, this brave, ] [ Young suitor, ] [ Sharing in my triumph! ]	Fávísa flón, þessi djarfi biðill Sem deilir sigurgleði minni.
[ Angel, I hear you! ]	Engill, ég heyri í þér.
[ Speak, I listen. ]	Tala, ég á þig hlýði.
[ Stay by my side, guide me. ]	Vertu mér hjá og vísa mér veg.
[ Angel, my soul was weak, ] [ Forgive me. ]	Engill, fyrirgef mér hve sál mín var veik.
[ Enter at last, Master! ]	Komdu loks inn, meistari.
[ Flattering child, ] [ You shall know me. ]	Barnið mitt, þú skalt mér kynnast.
[ See why in shadow I hide. ]	Skilja hví í skugga ég leynist.
[ Look at your face in the mirror ] [ I am there inside! ]	Sjá þig í spegli Og þar er ég.
[ Angel of Music, ] [ Guide and guardian! ]	Hljómanna engill og skæra leiðarljós.
[ Grant to me your glory! ]	Vísa mér að vegsemd þinni.
[ Angel of Music, ] [ Hide no longer! ]	Hljómanna engill, gefðu þig fram.
[ Come to me, strange angel. ]	Kom til mín, skrítni engill.
[ I am your Angel of Music. ]	Ég er hljómanna engill.
[ Come to me, Angel of Music. ]	Kom til mín, hljómanna engill.
Whose is that voice?	Hvaða rödd er þetta?
Who is that in there?	Hver er þarna inni?
[ Come to me: Angel of Music. ] [ Ln sleep he sang to me. ] [ Ln dreams he came. ]	Kom til mín, hljómanna engill. í svefni hann söng fyrir mig. í draumi hann kom.
[ That voice which calls to me ] [ And speaks my name. ]	Þessi rödd sem kallar á mig og nefnir mig.
[ And do I dream again? ]	Og dreymir mig á ný?
[ My power over you ] [ Grows stronger yet. ]	Vald mitt yfir þér í aukana færist.
[ And though you turn from me ] To glance behind...	Og þótt þú snúir frá mér til að líta um öxl þá er Óperudraugurinn kominn inn í huga þinn.
[ Your spirit and my voice. ]	Anda þínum og rödd minni.
[ My spirit and your voice. ]	Anda mínum og rödd þinni.
Sing, my Angel of Music.	Syngdu, hljómanna engill.
Sing, my angel.	Syngdu, engillinn minn.
Sing for me!	Syngdu fyrir mig!
Sing, my angel!	Syngdu, engillinn minn!
Christine?	Christine?
[ Ls this what you wanted to see? ]	Vildirðu fá þetta að sjá?
[ Oh, Christine. ]	Ó, Christine.
Come, we must return.	Komdu, við verðum að fara til baka.
Those two fools who run my theatre will be missing you.	Þessi tvö flón sem reka leikhúsið mitt sakna þín.
[ Mystery after gala night. ]	Ráðgáta eftir hátíðarkvöld.
[ Lt says, "Mystery ] [ Of soprano's flight!" ] [ "Mystified ", all the papers say ] [ We are mystified ] [ We suspect foul play! ]	Þar stendur: Dularfullur flótti sópransöngkonunnar. Ráðgáta, stendur í öllum blöðunum. Við erum alveg gáttuð og teljum brögð í tafli.
Bad news on soprano scene, [ first Carlotta, ] [ Now Christine! ]	Ótíðindi úr sópranheiminum, fyrst Carlotta, nú Christine.
[ Still at least ] [ The seats get sold ] [ Gossip's worth ] [ Its weight in gold ] 0 [ What a way to run a business! ]	Engu að síður er selt í sætin. Kjaftasaga er gulls ígildi. En sú stjórnviska.
[ Spare me these ] [ Unending trials ] [ Half your cast disappears, ] [ But the crowd still cheers ] 0 [ Opera! ]	Hlífið mér við þessum eilífu raunum. Helmingur leikara hverfur, en fólkið samt fagnar. Ópera!
[ To hell with Gluck and Handel, have a ] [ Scandal and you're sure to have a hit! ]	Fjandinn hirði Gluck og Händel, hneyksli framar tryggir!
[ Damnable? ]	Viðurstyggilegt?
[ Will they all walk out? ]	Ganga þau öll út?
[ This is damnable! ]	Þetta er viðurstyggilegt.
[ André, please don't shout ] [ Lt's publicity!	Ekki æpa, Andre. Þetta er kynning góð.
And the take is ] [ Vast! ]	Ókeypis kynning.
[ Free publicity! ]	En enga leikara höfum við.
[ But we have no cast! ] 0 [ André, have you seen the queue? ]	Hefurðu séð biðröðina, Andre?
[ Ah, it seems ] [ You've got one too. ]	Þér virðist líka hafa borist bréf.
[ Dear André, ] [ What a charming gala. ]	Kæri Andre, þetta er töfrum þrungin hátíðarsýning.
[ Christine was ] [ In a word sublime. ]	Christine var mikilfengleg.
[ We were hardly bereft ] [ When Carlotta left. ]	Við vorum tæpast leið þegar Carlotta hvarf á braut.
[ On that note, must you cast her when ] [ She's seasons past her prime? ]	Þurfið þið að nota hana sem muna má fífil sinn fegri?
[ Dear Firmin, ] [ Just a brief reminder. ] 0 [ My salary has not been paid. ]	Kæri Firmin, bara stutt áminning. Ég hef ekki fengið greidd laun.
[ Lsn't this the letter you wrote? ]	Rituðuð þér ekki bréfið?
[ And what is it that ] [ We're meant to have wrote? ]	Og hvað eigum við að hafa ritað?
[ Written! ] Do not fear for Miss Daae.	Ritað: Ekki óttast um ungfrú Daae.
The Angel of Music has her under his wing.	Hún er undir verndarvæng hljómanna engils.
Make no attempt to see her again.	Ekki reyna að sjá hana aftur.
If you didn't write it, then who did?	Ef þið rituðuð það ekki hver þá?
[ You dare to tell me that this ] [ Is not the letter you sent? ]	Dirfistu að segja mér að þú hafir ekki sent bréfið?
[ And what is it that ] [ I'm meant to have sent? ]	Og hvað á ég að hafa sent?
"Your days at the Opera Populaire are numbered.	Dagar yðar í óperuhúsinu eru taldir.
Christine Daae will be singing on your behalf tonight.	Christine Daae syngur í stað þín í kvöld.
[ All we've heard since we came ] [ Is Miss Daae's name... ]	Eftir að við komum höfum við bara heyrt nafn ungfrú Daae.
[ Miss Daae has returned. ]	Ungfrú Daae er komin aftur.
[ I hope no worse for wear, ] [ As far as we're concerned ] [ Where precisely is she now? ]	Vonandi heil á húfi Hvar er hún núna? Best tel ég að hún sé ein.
[ I thought it best she was alone ] [ She needed rest... ]	Hún þurfti að hvílast.
[ May I see her? ]	Má ég sjá hana?
[ Will she sing?	Nei, herra.
Will she sing? ]	Hún vill engan hitta.
[ Here, I have a note. ]	Hérna er bréf.
[ Let me see it! ]	Leyfið mér að sjá það.
Please!"	Ég bið yður.
Gentlemen, I have now sent you several notes of the most amiable nature detailing how my theatre is to be run.	Herrar mínir, ég hef sent nokkur vinsamleg bréf með fyrirmælum um hvernig reka skuli leikhúsið mitt.
You have not followed my instructions.	Þið hafið ekki farið að fyrirmælum mínum.
[ I shall give you ] [ One last chance. ]	Ég gef ykkur eitt tækifæri að lokum.
[ This hour shall see your ] [ Darkest fears. ] 0 [ I must see her. ] 0 [ Where did she go? ]	Þið skuluð skjálfa af ótta. Ég verð að hitta hana. Hvert fór hún?
[ Signora, sing for us! ]	Syngið fyrir okkur, ungfrú.
Your public needs you!	Fólkið þarfnast þín.
We need you, too!	Við þurfum líka á þér að halda.
[ Would you not rather have your ] [ Precious little ingenue? ]	Viljið þið ekki frekar fá stúlkutetrið?
Signora, no!	Nei, ungfrú.
[ The world wants you! ]	Allir vilja fá yður.
[ She has heard the voice ] [ Of the Angel of Music. ]	Hún hefur heyrt rödd engils hljómanna.
[ Surely there'll be ] [ Further scenes worse than this! ]	Vissulega koma verri kröfur en þetta.
[ Prima donna, ] [ The world is at your feet. ]	Prímadonna, þú leggur heiminn að fótum þér.
[ Should he suspect her, God protect ] [ Her!	Gruni hann hana þá Guð hjálpi henni.
The old fool is leaving!	Gamla flónið fer.
It's the Countess de Charbourg!	Greifynjan de Charbourg.
She's invited us to her salon, you know.	Hún bauð okkur til sín.
[ You cannot speak, ] [ But kiss me ] [ In my husband's absence! ]	Þú getur ekki talað en kysstu mig í fjarveru bónda míns.
[ Poor fool, he makes me laugh! ]	Veslings flón, ég hlæ að honum.
[ Time I tried to get ] [ A better better half. ]	Mál að fá mér betri helming.
[ Poor fool, he doesn't know! ]	Veslings flónið veit það ekki.
[ Lf he knew the truth, ] [ He 'd never ever go. ]	Hann færi aldrei ef hann vissi hið sanna.
Did I not instruct that Box Five was to be kept empty?	Sagði ég ykkur ekki að taka frá stúku 5 fyrir mig?
He's here, the Phantom of the Opera.	Óperudraugurinn er kominn.
It's him.	Það er hann.
Your part is silent, little toad!	Þú átt ekki að segja neitt, paddan þin.
A toad, madam?	Padda, ungfrú?
Perhaps it is you who are the toad.	Kannski eruð þér paddan.
Why you spray on my chin all the time, huh?	Af hverju úðarðu alltaf hökuna á mér?
[ Serafimo, ] [ Away with this pretence! ]	Serafimo, burt með þessa uppgerð.
[ You cannot speak, ] [ But kiss me in my... ]	Þú getur ekki talað en kysstu mig í...
Gentlemen, please, please.	Herrar mínir, ég bið ykkur.
[ Poor fool, he makes me laugh! ]	Veslings flónið, ég hlæ að honum.
She's lost her voice.	Hún missti röddina.
The performance will continue in ten minutes'time when the role of the Countess will be played by Miss Daae.	Sýningin heldur áfram eftir tíu mínútur þegar ungfrú Daae fer með hlutverk greifynjunnar.
Ladies and gentlemen, please remain in your seats.	Dömur mínar og herrar, verið kyrri sæti ykkar.
[ There is no ] [ Phantom of the Opera. ] 0 [ Raoul, I've been there, ] 0 [ to his world of unending night, ] [ To a world where the daylight ] [ Dissolves into darkness. ] 0 [ Darkness... ] 0 [ Raoul, I've seen him! ] 0 [ Can I ever forget that sight? ]	Inn í huga minn. Inn í huga þinn. Óperudraugurinn er ekki til. Ég hef komið þangað, Raoul. í heim hans þar sem eilíf nótt ríkir. í heim þar sem dagljós í dimmu breytist. Dimmu. Raoul, ég hef hann augum litið.
[ Can I ever escape ] [ From that face? ] 0 [ So distorted, deformed, ] 0 [ it was hardly a face. ] 0 [ ln that darkness... ] 0 [ darkness. ]	Líður sú ásjón mér úr minni? Svo bjöguð og afmynduð, andlit að nafninu til. í þessu myrkri, myrkri.
[ But his voice ] [ Filled my spirit ] [ With a strange, ] [ Sweet sound. ]	En rödd hans fyllti anda minn ljúfum undraómi.
[ Ln that night there was ] [ Music in my mind ] [ And through music ] [ My soul began ] 0 [ to soar. ]	Þetta kvöld ómaði tónlist í huga mér. Og gegnum tónlistina fór sál mín hátt á flug.
[ Let me lead you ] [ From your solitude. ] 0 [ Say you need me with you, ] 0 [ here, beside you. ]	Leyf mér einsemd þinni að eyða. Seg þú þarfnist mín, hér hjá þér.
Monsieur Firmin.	Herra Firmin.
[ Masquerade! ]	Gríman hylur, fólk með pappaandlit.
[ Drink it in, drink it up ] [ Till you've drowned ] [ In the light, in the sound. ]	Drekkið það í botn þar til þið drukknið. í ljósinu, í hljómnum.
[ But who can name the face? ] 0 [ Masquerade! ]	En hver getur nefnt andlit? Gríman hylur.
[ Grinning yellows, spinning reds. ]	Skærgul, eldrauð gríman hylur.
[ Masquerade! ]	Gríman hylur.
[ Think of it! ]	Hugsaðu þér.
A secret engagement.	Leynileg trúlofun.
Look, your future bride!	Sjáðu, konuefni þitt.
Just think of it!	Hugsaðu þér.
But why is it secret?	En því þetta laumuspil?
What have we to hide?	Hvað höfum við að fela?
You promised me.	Þú lofaðir mér því.
No, Raoul.	Nei, Raoul.
They'll see...	Þau sjá það.
Well, then, let them see.	Leyfum þeim það þá.
It's an engagement, not a crime.	Þetta er trúlofun, ekki glæpur.
[ A few instructions ] [ Just before rehearsal starts. ] 0 [ Carlotta must be taught to act. ]	Fáeinar leiðbeiningar áður en æfingar hefjast: Kenna verður Carlottu að leika.
Please, Madame Giry, for all our sakes...	Ég bið þig, frú Giry, vegna okkar allra.
Very well.	Gott og vel.
It was years ago.	Það var fyrir mörgum árum.
[ One of many. ]	Ein af mörgum.
See the wonders form the East. Come.	Ég bjó í svefnsölum óperuhússins.
Come.	Komið.
Come inside.	Komið inn.
Come and see the Devil's Child.	Komið og sjáið barn skrattans.
Behold, mesdames et messieurs, the Devil's Child!	Herrar mínir og frúr, sjáið barn skrattans.
You freak.	Viðundur.
The Devil's Child!	Barn skrattans.
Murder!	Morð!
Murder! Which way?	Morð! í hvaða átt?
That way.	Þangað!
He's getting away!	Hann kemst undan!
He's killed him!	Hann drap hann!
[ I hid him from the world ] [ And its cruelties. ]	Ég faldi hann fyrir umheiminum og grimmd hans.
He has known nothing else of life since then except this opera house.	Hann hefur engu öðru kynnst í lífinu nema þessu óperuhúsi.
It was his playground and now his artistic domain.	Það var leikvöllur hans og núna listrænt yflrráðasvæði hans.
He's a genius.	Hann er snillingur.
