No, a different one.	Ég á við aðra.
It was supposed to happen, but I canceled it. I thought I did.	Ég á við að ég tók diskinn til baka eða það hélt ég.
Because I could never do that to you.	Ég gæti ekki gert þér það.
Emma, you're my best friend. This fighting is so dumb.	Þú ert besta vinkona mín. Þetta rifrildi er svo heimskulegt.
I'm so sorry about everything.	Mér þykir þetta allt svo leiðinlegt.
I'm sorry too.	Mér líka.
I'm so sorry.	Mér þykir þetta svo leiðinlegt.
If I ruined it for you, I don't want it anymore.	Ef ég eyðilagði brúðkaupið þitt, vil ég ekki gifta mig hér.
If Fletcher and I were perfect for each other, then....	Ef við Fletcher ættum vel saman, þá...
We 'd be getting married, and we're not.	Myndum við gifta okkur, en við eigum ekki saman.
Are you crying?	Ertu að gráta?
Yeah. lt's like a whole new me.	Já. Ég er víst gjörbreytt.
And I just- - l cry all the time. - l'm kind of a basket case.	Ég er alveg í rusli.
No, Liv.	Nei, Liv.
I didn't- - No. - l didn't want that.	Ég vildi... Nei. Ég vildi það ekki.
No. No, you were right.	Nei, þú hafðir rétt fyrir þér.
I don't have to have it constantly together all the time.	Ég þarf ekki að vera sterk hverja mínútu.
It's like this huge wake-up call.	Það er eins og ég hafi verið vakin.
And I'm kind of stumbling around a little bit, but...... I'm awake.	Og ég skjögra dálítið ennþá en... ég er vöknuð.
Will you stand up there with me?	Viltu standa þar hjá mér?
Where else would I be? Reset, people.	Hvar ætti ég annars að vera?
Reset. Ooh.	Byrjum upp á nýtt.
I almost forgot something. Oh, my God.	Ég gleymdi næstum að láta þig fá þetta.
Em, where did you find that?	Hvar fannstu þetta?
Two little girls saved it for us. Come on.	Tvær litlar stelpur geymdu þetta handa okkur.
Hey.	Hæ.
Are you single?	Ertu ógiftur?
Yeah.	Já.
Are you straight? - l don't like labels- So sorry to hear about your divorce.	Ég vil ekki flokka fólk. Mikið var leiðinlegt að heyra um skilnaðinn þinn.
Why?	Af hverju?
It was only my first.	Þetta var bara sá fyrsti.
And next time, I'm definitely getting married at The Plaza.	Og næst ætla ég að gifta mig á Plaza.
Do you wanna dance?	Viltu dansa?
Yes.	Já.
Let's go.	Komum.
Okay. Um....	Allt í lagi.
No, baby.	Nei, elskan.
Baby, let it happen on its own.	Láttu það hafa sinn gang.
Uh-oh. Did I make a horrible mistake...... and marry someone who's smarter than I am?	Gerði ég voðaleg mistök og giftist manni sem er gáfaðri en ég?
It was quite a wedding.	Þetta var heljarinnar brúðkaup.
And as I stood there watching I realized something I 'd forgotten a long time ago. [ singing "YOU 'VE MADE ME SO VERY HAPPY" ] Sometimes in life there really are bonds formed that can never be broken.	Og þegar ég stóð þar og fylgdist með rann nokkuð upp fyrir mér sem ég hafði gleymt. Stundum myndar maður tengsl sem eru órjúfanleg.
Sometimes you really can find that one person who will stand by you no matter what.	Stundum finnur maður manneskju sem stendur með manni hvað sem á bjátar.
Maybe you'll find it in a spouse and celebrate it with your dream wedding.	Kannski verður það maki og því er fagnað með draumabrúðkaupi.
But there's also the chance that the one person you can count on for a lifetime the one person who knows you sometimes better than you know yourself is the same person who's been standing beside you all along. Wow. Hello. Oh, my God. You look great.	En manneskjan sem hægt er að treysta alla ævi, sem þekkir mann, stundum betur en maður sjálfur er manneskjan sem hefur staðið næst manni alla ævi.
You look great.	Ári síðar.
Well, how was it?	Halló, Guð...
How was the vacation? - lt was amazing.	Þú ert glæsileg.... hvað þú lítur vel út. Hvernig var fríið?
I want to know everything.	Ég vil fá að vita allt.
I don't.	Nei, annars.
You married my brother. That's weird.	Þú giftist bróður mínum og það er skrýtið.
So I don't want to know anything, ever.	Ég vil aldrei vita neitt.
Should we toast to marriage? Um....	Eigum við að skála fyrir hjónabandinu?
Actually, I'm not drinking.	Ég drekk reyndar ekki.
Neither am I. Are you pregnant?	Ekki ég heldur. Ertu ófrísk?
Are you pregnant?	Ertu ófrísk?
When are- -?	Hvenær...?
Me too.	Ég líka.
March 3rd.	3. mars.
When are you due?	Rippað af......
March 3rd. March 3rd. - --SUB-ENG---T4P3--2009 Comedy,Romance English USA 89 121 601 2077 13608 windows-1252 190 1 2013-10-21 1335 1/1 01:20:58,018 1.0 English	Žice! 1285 Icelandic 1.0 1/1 2009-07-05 01:20:57,191 USA 89 Comedy,Romance 2009 English 0 1675 0 10323 14 iso-8859-4 0
Please stop acting like Dad.	Hættu að haga þér eins og pabbi.
Boy, I don't got time for this.	Ég hef ekki tíma fyrir þetta, drengur.
Get up.	Á fætur.
I'm gonna be late.	Ég er að verða of seinn.
Your lunch is in the kitchen.	Nestið þitt er inni í eldhúsi.
Come on, man. / Negative on that, Control. / We're short-handed already.	Láttu ekki svona, maður. Svarið er neikvætt, stjórnstöð.
Now, that's what I'm talking about.	ARNARSKJÖLDURINN Þetta er það sem ég er að tala um.
M4 Benelli scattergun.	M4 Benelli haglabyssa.
State of the art.	Sú nýjasta á markaðinum.
Yeah, boys.	Já, strákar.
I wish somebody would mess with us on the...	Ég vildi að einhver myndi abbast upp á okkur þar...
What?	Hvað?
Looks like the devil made that.	Lítur út eins og djöfullinn hafi búið hana til.
Cut the shit, Palmer.	Hættu þessu kjaftæði, Palmer.
You and the devil was real tight not too long ago, huh?	Þú og djöfullinn voruð bestu félagar ekki alls fyrir löngu, ha?
God saved my life, yes and he could still save yours.	Guð bjargaði lífi mínu, jú og hann gæti enn bjargað þínu.
What's up?	Hvað er í gangi?
Good morning.	Góðan daginn.
Good morning.	Góðan daginn.
Yo, yo, little Mike.	Hey, hey, litli Mike.
Check this baby out.	Kíkið á þessa gellu.
What do you think of that?	Hvað finnst ykkur um þetta?
Looks like you're overcompensating.	Lítur út fyrir að þú sért að reyna að bæta upp fyrir eitthvað.
What are you talking about?	Um hvað ertu að tala?
What am I talking about?	Um hvað er ég að tala?
What you talking about?	Um hvað ertu að tala?
You know what they say.	Þú veist hvað sagt er.
Bigger the gun, smaller the pistol.	Því stærri byssa, því minna skotvopn.
Okay, okay.	Ókei, ókei.
Good one, good one, good one.	Góður þessi, góður þessi, góður þessi.
Oh, you know.	Vitiði hvað.
Shit, I'm gonna remember that shit.	Fjandinn, ég ætla að muna þennan fjanda.
That's all right.	Það er í góðu lagi.
Next Monday, Teams 1, 3, 5 and 7 will commence training on the new 425X 7 acts.	Næsta mánudag, Lið 1, 3, 5 og 7 munu byrja þjálfunina á nýju 425X7 ACT-in.
What's going on?	Hvað er í gangi?
I got a black van.	Svartur sendiferðabíll.
He circled us twice.	Hann keyrði í kringum okkur tvisvar.
All right, eyes and ears open. / Ten-four.	Allt í lagi, augu og eyru opin.
I wish they would try something.	Tíu-fjórir. Ég vildi að þeir myndu reyna eitthvað.
Whoa, whoa, what's going on?	Vó, vó, hvað er í gangi?
What's going on?	Hvað er í gangi?
I don't know.	Ég veit það ekki.
Ty, keep your eyes open.	Ty, fylgstu vel með.
I don't know.	Ég veit ekki.
She just cut out on me.	Hún bara gafst upp.
Check your gauges.	Skoðið mælana ykkar.
Everything looks good.	Allt lítur vel út.
Hey, wait, whoa, whoa.	Hey, bíðið, vó, vó.
You smell that?	Finnurðu lyktina?
Anybody smell that?	Finnur einhver þessa lykt?
I don't smell nothing, Baines.	Ég finn enga lykt, Baines.
I smell it.	Ég finn hana.
Burnt sugar.	Brenndur sykur.
Somebody got to the fuel line.	Einhver skemmdi eldsneytislínuna.
No, this ain't good.	Nei, þetta er ekki gott.
Team 12 to Base.	Lið 12 til Aðalstöðvar.
This ain't good.	Þetta er ekki gott.
Team 12 to Base, come in.	Lið 12 til Aðalstöðvar, svarið.
Keep keying that thing.	Haltu áfram að reyna.
Keep keying it.	Notaðu lykilinn.
Team 12 to Base, come in, goddamn it.	Lið 12 til Aðalstöðvar, svarið, fjandinn.
Where are you?	Hvar eru þið?
We got a code black here.	Við erum með svartann kóda hérna.
Come on.	Svona.
What's going on?	Hvað er í gangi?
Keep keying the thing.	Haltu áfram með lykilinn.
I am, I am, I'm trying.	Ég er að því, ég er að reyna.
Come on.	Láttu ekki svona.
Team 12 to Base, come in.	Lið 12 til Aðalstöðvar, svarið.
Where the hell are you?	Hvar í fjandanum eru þið?
We got a code black.	Við erum með svartann kóda hérna.
We're in a dead zone.	Við erum á dauðu svæði.
Damn.	Fjandinn.
Holy shit.	Andskotinn.
Holy shit, holy shit.	Fjandinn, fjandinn.
Holy shit!	Fjandinn!
Seat belt's stuck.	Sætisbeltið er fast.
Hit the deep locks.	Læsið djúpu lásunum.
My seat belt's stuck.	Sætisbeltið mitt er fast.
Keep keying it!	Haltu áfram með lykilinn!
Keep keying it!	Haltu áfram!
She won't turn over!	Hún fer ekki í gang!
Bomb!	Sprengja!
Come on.	Svona nú.
She won't turn over.	Hún vil ekki fara í gang.
She won't turn over!	FLASKA Ég þoli ekki lengur við.
I can't take it.	"Sprengja!"
"Bomb!"	Við náðum þér, maður.
We got you, man. We got you, man.	Við náðum þér, maður.
We got you.	Við náðum þér.
Oh, buddy, you did great.	Ó, félagi, þú stóðst þig vel.
You were quiet in the crisis, man.	Þú varst hljóðlátur í erfiðleikunum.
Jesus.	Jesús.
Oh, no, can't get his belt off!	Ó, nei, ég næ ekki sætisbeltinu af mér!
You should have seen the look on your face.	Þú hefðir átt að sjá svipinn á sjálfum þér.
Don't worry.	Engar áhyggjur.
Dobbsie was crying when we did it to him.	Dobbsie grét þegar við gerðum þetta við hann.
No, no, no.	Nei, nei, nei.
We had to change your diaper.	Við þurftum að skipta á bleiunni þinni.
What the hell...?	Hvað í?
Hey, hey, hey.	Hey, hey, hey.
I tried to stop them, bro, all right?	Ég reyndi að stöðva þá, brósi, allt í lagi?
You're supposed to have my back.	Þú átt að passa upp á mig.
Hold on. Hold on.	Bíðið nú við.
I got something I 'd like to say.	Það er svolítið sem ég vil segja.
Hold on a second.	Bíðið augnablik.
You know, when your old man asked me to be your godfather that was a big moment in my life.	Þegar pabbi þinn bað mig um að verða guðfaðir þinn það var stórt augnablik í mínu lífi.
He was a great mentor to me and he was...	Hann kenndi mér margt og hann var...
He was my best friend.	Hann var besti vinur minn.
I don't know how much of this he expressed to you how deeply proud he was of you when you joined the service.	Ég veit ekki hversu mikið af þessu hann sagði þér hversu innilega stoltur hann var af þér þegar þú gekkst í liðið.
And I know both he and your mom would be proud to see the way that you stepped up for your brother, Jimmy.	Og ég veit að bæði hann og mamma þín myndu vera stolt að sjá hvernig þú hugsar um bróðir þinn, Jimmy.
Real proud.	Mjög stolt.
Yeah.	Já.
And I'm proud of you too.	Og ég er stoltur af þér líka.
So let's take a moment to lift up our glasses to Ty.	Notum þetta tækifæri til að skála fyrir Ty.
To Ty, Jr.	Fyrir Ty yngri.
To Ty.	Fyrir Ty.
You passed your probation.	Þú stóðst skilorðið.
Starting tomorrow you're a full-fledged guard with Eagle Shield Security.	Frá og með deginum á morgun ertu fullgildur öryggisvörður hjá Arnarskildi Öryggisþjónustunnar.
To Eagle Shield.	Fyrir Arnarskildi.
Eagle Shield!	Arnarskildi!
Eagle Shield Security.	Öryggisþjónustan Arnarskjöldur.
Here's to it.	Skál fyrir því.
They dropped a power line on the truck.	Þeir hentu rafmagnslínu ofan á brynvarða bílinn.
Fifty thousand volts.	Fimmtíu þúsund volt.
Fried everybody inside.	Steiktu alla inni í honum.
They were lucky they went fast.	Þeir voru heppnir að þeir dóu hratt.
Remember Omaha?	Munið eftir Omaha?
Oh, man.	Ó, maður.
Yeah, they tried to use a demolition charge to blow the door.	Já, þeir reyndu að nota niðurrifssprengju til að brjóta hurðina.
The door held but the fuel tank went up in flames.	Hurðin hélt en það kviknaði í eldsneytistankinum.
They were cooked alive.	Þeir elduðust lifandi.
So has Eagle Shield ever got jacked?	Hefur aldrei verið rænt Arnarskjöldinn?
Once.	Einu sinni.
A couple of guards got killed in a five-man ambush.	Tveir verðir dóu í fimm manna fyrirsát.
How much they get?	Hversu miklu náðu þeir?
Not one dollar.	Ekki einum dal.
The last guard in the crew dropped all five of them.	Síðasti vörðurinn skaut alla fimm.
One guard?	Einn vörður?
Yes.	Já.
Ashcroft.	Ashcroft.
Ashcroft?	Ashcroft?
Our Ashcroft?	Okkar Ashcroft?
That's why he's got the cane.	Þess vegna gengur hann með staf.
No.	Nei.
Still carrying a couple of slugs in his back.	Enn með nokkrar byssukúlur í bakinu.
I got an even better one.	Ég kann eina enn betri.
Back in October of '88 a crew making a $ 4-million cash transfer to Abilene stopped at a car accident.	Í október árið ' 88 var hópur að fara með 4 milljónir dollara í reiðufé til Abilene stoppaði við bílslys.
Only it wasn't an accident, it was a setup.	Nema það var ekki bílslys, heldur fyrirsát.
The guard who got out of the truck, well, they just grabbed him put a sawed-off shotgun to the back of his head.	Vörðurinn sem fór út úr bílnum, jæja, þeir gripu hann bara settu afsagaða haglabyssu við hnakkann á honum.
Then what happened?	Hvað gerðist svo?
Crew just gave up the money and they let the guard go.	Hópurinn gaf bara peningana upp á bátinn og þeir slepptu honum.
The guards just gave up the money?	Létu verðirnir peningana frá sér?
It was either that or sacrifice one of their brothers.	Það var annað hvort það eða fórna einum af bræðrum sínum.
The funny thing about it is they still never caught up with those hijackers.	Það fyndna við það er að þeim ræningjum var aldrei náð.
Right?	Ekki satt?
Nope.	Nei.
And they never found that money either.	Og peningarnir fundust heldur aldrei.
See not everybody's a hero, soldier boy.	Sjáið til það eru ekki allir hetjur, litli dáti.
So when are you gonna tell us about all them kills you got over there in Baghdad?	Hvenær ætlarðu að segja okkur frá drápunum þínum frá Baghdad?
We 'd like to hear about that.	Við myndum vilja heyra um það.
I gotta take a leak.	Ég þarf að pissa.
You're out of line, man.	Þú gekkst of langt, maður.
You should be proud of what you did over there.	Þú ættir að vera stoltur af því sem þú gerðir þar.
I'm not.	Ég er það ekki.
A lot of innocent people died out there.	Mikið af saklausu fólki dó þarna úti.
Right, right.	Rétt, rétt.
But you were just trying to protect the guys in your unit.	En þú varst bara að reyna að vernda strákana í herdeildinni þinni.
Those guys were your brothers.	Þeir voru bræður þínir.
Anybody would've done the same thing.	Hver sem er hefði gert það sama.
So you 'd think.	Það myndi maður halda.
That's what you 'd think.	Það myndu flestir halda.
