Good girl.	Svona, já.
Yes, Mr. Bouchard.	Já, herra Bouchard.
I know I will.	Ég veit það.
Tell them humanity is the disease.	Segðu þeim að mannkynið sé meinið.
Inferno is the cure.	Víti er lækningin.
Traitors!	Svikarar!
Suffer, sinners.	Þjáist, syndarar.
Pay for your sins. Sinners, pay for your sins.	Líðið fyrir syndir ykkar, Syndarar, líðið fyrir syndir ykkar, Líðið fyrir syndir ykkar Þjáist, syndarar.
Pay for your sins.	Líðið fyrir syndir ykkar, Glötun sálna.
Suffer, sinners.	Augnablik.
Pay for your sins.	Hvað er...
What is happening?	Hvað er um að vera?
Dr. Brooks?	Læknir?
Abandon all hope.	Gefið upp alla von.
All hope.	Alla von.
Sinners, pay for your sins.	Syndarar, líðið fyrir syndir ykkar, Langdon, ég er Brooks læknir.
Mr. Langdon, I'm Dr. Brooks.	Við ætlum að gera prufur.
Nothing to worry about.	Ekkert áhyggjuefni.
We'll get rid of this, shall we?	Losum okkur við þetta.
Do you know what day of the week it is?	Veistu hvaða vikudagur er?
Saturday.	Laugardagur.
It's Monday.	Það er mánudagur.
20th of June.	20. júní.
Monday, the 20th of June.	Mánudagur, 20. júní.
Do you know where we are?	Veistu hvar við erum?
Boston.	Í Boston.
Mass General.	Massachusetts spítala.
And what's the last thing you can remember?	Hvað er það síðasta sem þú manst?
I was on campus.	Ég var í skólanum.
Everything is blurry.	Allt er óljóst.
It's out of focus.	Það er óskýrt.
Was I in some kind of an accident?	Lenti ég í slysi?
We'll get to that.	Tölum um það á eftir.
Is there someone we should call for you?	Viltu að við hringjum í einhvern?
No.	Nei.
Your wife?	Konuna þína?
Family?	Fjölskylduna?
No, no.	Nei.
I'm not married.	Ég er ókvæntur.
Professor Langdon, you're suffering from a head trauma.	Þú fékkst höfuðhögg.
You appear to have mild retrograde amnesia.	Þú virðist hafa lítilsháttar minnisleysi.
Just try to relax.	Reyndu bara að hvílast.
Neurologically, you seem to be fine.	Taugakerfið virðist óskert.
Your memory will return over the next several days.	Minnið kemur aftur næstu daga.
So we'll wait and watch.	Svo við bíðum og sjáum til.
Can you turn off the lights, please?	Geturðu slökkt ljósið?
Of course.	Auðvitað.
If the head trauma was bad enough to cause cerebral contusions... -... photosensitivity is common.	Ef höfuðhöggið hefur valdið mari á heila er viðkvæmni fyrir ljósi algeng.
Could you please turn off the lights?	Viltu slökkva ljósið?
What am I doing in Florence?	Hvað er ég að gera í Flórens?
That's il Duomo.	Þetta er Duomo.
That's the Palazzo Vecchio, isn't it?	Er þetta ekki Palazzo Vecchio?
Yes.	Jú.
Well, how did I get here?	Hvernig komst ég hingað?
You came to our emergency room three hours ago with a head wound.	Þú komst á neyðarmóttökuna fyrir þremur tímum með höfuðsár.
Was I with a woman?	Var kona með mér?
No, a cab driver brought you in.	Nei, leigubílstjóri kom með þig.
No wallet, no phone, no ID.	Ekkert veski, sími eða skilríki.
How the heck do you know my name?	Hvernig veistu þá hvað ég heiti?
We've met.	Við höfum hist.
I saw you lecture at Imperial College London.	Ég mætti á fyrirlestur hjá þér í London.
We spoke afterwards.	Við töluðum saman á eftir.
You were very nice to me.	Þú varst mjög indæll.
We met?	Hittumst við?
Sorry, that's not quite fair.	Fyrirgefðu, þetta er ósanngjarnt.
I was 9 at the time.	Ég var níu ára.
Wait, 9 years old?	Níu ára gömul?
And I liked your books.	Ég var vitlaus í þrautir.
Maybe not Lost Language of Ideograms.	Kannski ekki Glatað tungumál myndleturs.
But the others.	En hinum.
And you can also expect nausea, confusion and dizziness.	Það má líka búast við ógleði, ruglun og svima.
That was the front desk.	Þetta var móttakan.
The police are here to see you.	Lögreglan vill tala við þig.
Me? Why?	Af hverju?
Before you talk to them, professor, you should know all the facts of your case.	Áður en þú talar við þá þarftu að vita staðreyndirnar í máli þínu.
Your head wound wasn't caused by an accident. It was the result of a gunshot.	Það var ekki slys sem olli höfuðsárinu heldur byssukúla.
A bullet grazed the top of your skull, and you most likely took a bad fall which is what caused the concussion.	Kúlan straukst við höfuðið og líklega dastu illa sem olli heilahristingnum.
If the bullet had been an inch to the side, it could've killed you.	Það munaði hársbreidd að kúlan hefði drepið þig.
Come on, come on.	Komdu.
It's okay. It's okay.	Það er óhætt.
Come on.	Komdu.
Taxi! Get in!	Sestu inn!
Is he drunk or what?	Er hann drukkinn?
What was that?	Hvað var þetta?
This is gonna hurt.	Þetta verður sárt.
It's okay. It's okay.	Það er allt í lagi.
Robert.	Robert.
Seek and find.	Leitaðu og þú munt finna.
Seek and find.	Flórens, Ítalíu Klukkan 4: 52 Leitaðu og þú munt finna.
This is my apartment.	Þetta er íbúðin mín. Þú ert ennþá í Flórens.
You're still in Florence. I'm gonna call the police. Wait up.	Ég hringi í lögregluna.
A policewoman just tried to kill us.	Lögreglukona reyndi að drepa okkur.
Okay. We'll call the U.S. Consulate instead if you like. Just wait. Just give me...	Hringjum þá í bandarísku ræðisskrifstofuna.
Give me a minute.	Bíddu aðeins.
Get a hold of things.	Bíðum smástund.
Why was someone shooting at you?	Ég þarf að hugsa. Af hverju var skotið á þig?
I don't know.	Ég veit það ekki.
Do you have any idea why you 'd be saying this?	Veistu af hverju þú sagðir það?
No.	Nei.
Why was someone shooting at you?	Af hverju var skotið á þig?
You can keep asking me these questions, lady, but I'm not gonna know the answers!	Þú spyrð mig spurninga en ég hef engin svör!
My name's Sienna.	Ég heiti Sienna.
Oh, God. I'm sorry.	Fyrirgefðu.
Hello.	Sæl.
Hi.	Sæll.
Just, you ask a lot of questions.	Þú spyrð svo margra spurninga.
Yeah, I'm feeling a tad vulnerable right now.	Já, ég er dálítið óörugg.
I'm with someone other people want to shoot at.	Ég er með manni sem fólk vill skjóta.
I'm sorry.	Mér þykir það leitt.
Questions are important.	Spurningar eru mikilvægar.
It'll help you recover.	Þær hjálpa þér að ná þér.
Can I ask you for a cup of...?	Má ég biðja þig um bolla...
Well, it's brown and it's hot and people drink it in the morning for energy. Tea. Tea.	Það er brúnt og heitt og fólk drekkur það á morgnana til að fá orku.
No!	Te. Nei.
The other one.	Hinn drykkurinn.
Coffee.	Kaffi.
Coffee!	Kaffi!
Could I have a cup of coffee?	Má ég fá kaffibolla?
Sure.	Auðvitað.
Thank you.	Takk.
You are very organized.	Hér er allt í röð og reglu.
I like things tidy.	Ég vil hafa snyrtilegt.
Thank you for helping me at the hospital.	Takk fyrir hjálpina á spítalanum.
That was very courageous.	Þú sýndir mikið hugrekki.
It was just reflexes.	Það voru bara ósjálfráð viðbrögð.
Very sorry.	Af saki...
I'm having visions.	Ég sé sýnir.
It's the head trauma.	Það er höfuðáverkinn.
You won't be able to trust your own thoughts for a while.	Þú getur ekki treyst hugsunum þínum um tíma.
Saw a plague mask.	Ég sá faraldursgrímu.
It's the kind that medieval doctors wore during the Black Death.	Eins og þær sem læknar notuðu þegar svartidauði geisaði.
You said something about that.	Þú minntist eitthvað á það.
You were talking in the cab.	Þú talaðir í leigubílnum.
It was mostly incoherent but I did hear the word "mask."	Mest af því var óskiljanlegt en ég heyrði orðið,, gríma ".
Anything else?	Eitthvað fleira?
Bodies.	Lík.
And blood and fire and hell.	Og blóð og eldur... og helvíti.
And there's a woman.	Og það er kona.
Yeah, there's a woman, and she seemed...	Já, það er kona og hún virtist...
It all seems so dangerous.	Það virðist allt svo hættulegt.
Look, you gotta have somebody we should call.	Það hlýtur að vera einhver sem þarf að hringja í.
I do?	Er það?
Why?	Af hverju?
Was I wearing my watch when I was brought to the hospital?	Var ég með úrið þegar ég kom á spítalann?
You weren't wearing a watch.	Þú varst ekki með úr.
It was important to me.	Það var mér mikilvægt.
It was a gift from my parents.	Það var gjöf frá foreldrum mínum.
Look, you should go ahead and clean up.	Þú ættir að fara í sturtu.
Your clothes are covered in blood but I think I've got something that might fit you.	Fötin þín eru blóðug en ég gæti átt eitthvað sem þú getur notað.
Once you get dressed, we'll call the police, okay?	Þegar þú ert klæddur hringjum við í lögregluna.
The consulate.	Ræðisskrifstofan.
Right.	Já.
Coffee.	Kaffi.
Ignazio?"	Ignazio?
What we stole is safely hidden, as am I. Paradise Twenty-five."	Nú eru þeir á eftir mér líka.,, Það sem við stálum er vel falið eins og ég.
"Now they're after me too."	Paradís 25. ",, Nú eru þeir á eftir mér líka."
Ignazio?	Ignazio?
I've left your things in the bathroom.	Eigur þínar eru á baðherberginu.
Try these.	Mátaðu þessi föt.
Whose are they?	Hver á þau?
A friend's.	Vinur minn.
Does he live here?	Býr hann hér?
Sometimes.	Stundum.
Sometimes, huh?	Nú, stundum?
You're being rude.	Nú ertu ókurteis.
I'm sorry.	Fyrirgefðu.
I'm not like this.	Ég er ekki svona.
You kind of are.	Jú, eiginlega.
I found this in my old jacket. It's a bio tube.	Ég fann þetta í gamla jakkanum mínum.
They're used to transport dangerous substances.	Þetta er hylki til að geyma hættuleg efni.
What are you doing with it?	Hvað ertu að gera með það?
I have no idea.	Ég hef ekki hugmynd um það.
Well, it sure as hell isn't me.	Það er örugglega ekki ég.
Then why do you have it?	Af hverju ertu þá með það?
I don't know.	Ég veit það ekki.
I'm getting the number for the consulate.	Ég finn númerið fyrir ræðisskrifstofuna.
No, please.	Nei, ekki.
Wait.	Bíddu.
I have waited.	Ég beið.
This isn't right.	Þetta er rangt.
Why do you have it?	Af hverju ertu með það?
Where did you get it?	Hvar fékkstu það?
There is a simple way to find out if this thing belongs to me.	Það er auðveld leið til að komast að því hvort ég á það.
Either my thumb will open it, or it won't.	Ef ég get opnað það með þumalfingrinum.
Open it?	Opna það?
Are you insane?	Ertu brjálaður?
If it's a viral agent, will it be released if I open it?	Ef það er efnavopn dreifist það ef ég opna það?
No, there 'd be an inner sleeve. Maybe even two.	Þá væri innri hólkur eða kannski tveir.
Before I put myself in anyone's hands, I wanna know what this thing is and what I'm involved with.	Áður en ég leita til einhvers vil ég vita hvað þetta er og í hvað ég er flæktur.
That makes sense, doesn't it?	Er það ekki skynsamlegt?
So we agree we're opening it.	Svo við erum sammala. Við opnum það.
Well, that explains it.	Þetta skýrir málið.
It is mine.	Ég á það.
This is a cylinder seal made of ivory.	Þetta er innsiglishólkur úr fílabeini.
No.	Nei.
It's bone.	Þetta er bein.
Human.	Úr manni.
Three-headed, man-eating Satan.	Þríhöfða mannætudjöfull.
A common image from the Middle Ages.	Algeng mynd frá miðöldum.
Associated with the Black Plague.	Hún tengist svartadauða.
The three gnashing mouths are symbolic of how effectively the plague ate through the population.	Gnístandi munnarnir þrír eru tákn þess hvernig plágan át sig gegnum fólkið.
Yet you can't remember the word for coffee.	Samt manstu ekki hvað kaffi kallast.
Explains my visions. Sort of.	Þetta útskýrir eiginlega sýnirnar.
You hear that?	Heyrirðu þetta?
This could be a Faraday pointer.	Þetta gæti verið Faraday-geisli.
So why this?	Af hverju þetta?
It's Botticelli.	Þetta er Botticelli.
It's his Map of Hell.	Kortið hans af helvíti.
He painted it as an illustration of Dante's Inferno.	Hann málaði það til skýringar á Víti Dantes.
I studied Dante when I was younger.	Ég lærði um Dante þegar ég var yngri.
Probably in kindergarten.	Líklega í leikskóla.
I was a bit obsessed.	Ég var eiginlega heltekin.
Dante defined our modern conception of hell.	Dante skilgreindi nútíma hugmyndir um helvíti.
Our vision of it hasn't changed since he defined it 700 years ago.	Sýn okkar á það hefur ekki breyst eftir skilgreiningu hans fyrir 700 árum.
Botticelli drew it but Dante created hell as we know it.	Botticelli teiknaði það en Dante skapaði víti eins og við þekkjum það.
This is what I have been seeing.	Þetta er það sem ég hef séð.
Torment.	Kvalir.
Sinners.	Syndarar.
Branded with letters.	Brennimerktir með bókstöfum.
Liars covered with rashes.	Lygarar þaktir útbrotum.
Soothsayers with their heads ripped backwards.	Spámenn með höfuðin rifin aftur á bak.
Serpents.	Höggormar.
The punishment for thievery.	Refsingin fyrir þjófnað.
Suffer, sinners.	Það sem við stálum Þjáist, syndarar.
Pay for your sins. So you have no idea why you have this.	Líðið fyrir syndir ykkar, Svo þú veist ekki af hverju þú ert með þetta.
I think maybe we call the consulate now.	Nú held ég að við hringjum í ræðisskrifstofuna.
Professor Langdon?	Langdon prófessor?
Hello, yes.	Já.
Speaking.	Þetta er hann.
Thank heavens you're alive.	Guði sé lofað þú ert á lífi.
We've been looking for you.	Við höfum leitað að þér Er það?
You have?	Ertu ennþá með það?
Are you still in possession?	Ertu með hylkið?
Yes.	Já.
Where are you located?	Hvar ertu staddur?
Professor, we can't help you if we can't find you.	Við getum ekki hjálpað þér ef við finnum þig ekki.
That's the consulate.	Þetta er ræðisskrifstofan.
Now, how did they know?	Hvernig vita þeir það?
Because they know.	Af því þeir vita það.
What do we do?	Óuppgefið númer Hvað gerum við?
Hello?	Halló?
Professor, we were cut off.	Sambandið slitnaði, prófessor Já, afsakaðu.
Where are you located?	Hvar ertu staddur?
Pensione La Fiorentina.	Pensione La Fiorentina.
Stay in your room.	Vertu kyrr á herberginu.
We're sending someone now.	Við sendum mann núna.
Well, I'll wait here.	Ég bíð hér.
Room 39.	Herbergi 39.
Okay. We wait and see who they send.	Bíðum og sjáum hvern þeir senda.
Langdon accessed his e-mail account from an unmasked LP address here in Florence.	37 Langdon skoðaði netpóstinn sinn frá opinni nettengingu hér í Flórens.
