Affirmative.	Staðfest.
When they played cards all night nobody ever called the cops.	Þeir spiluðu fjárhættuspil heilu næturnar en enginn hringdi á lögguna.
Tony Stacks.	Tony Stacks.
How are you?	Hvernig hefurðu það?
Tuddy Cicero.	Tuddy Cicero.
Could this be the Canarsie Kid?	Er þetta strákurinn frá Canarsie?
Tuddy.	Tuddy.
Tuddy ran the cabstand and the Bella Vista Pizzeria and other places for his brother, Paul, who was the boss of the neighborhood.	Tuddy rak leigubílastöðina, Bella Vista-pítsustaðinn og aðra staði fyrir bróður sinn, Paul, sem stjórnaði hverfinu.
Paulie might have moved slow but it was only because Paulie didn't have to move for anybody.	Paulie hreyfði sig kannski ekki hratt en það var bara af því að hann þurfti ekki að hlýða neinum.
It's your fault.	Þetta er þér að kenna.
You started it!	Þú byrjaðir!
I started it?	Byrjaði ég?
It's your fault.	Þetta er þér að kenna.
At first my parents loved that I found a job across the street from the house.	Í byrjun voru foreldrar mínir ánægðir með að ég skyldi finna vinnu í hverfinu.
My father, who was Irish, was sent to work at the age of 11.	Pabbi, sem var írskur, byrjaði að vinna þegar hann var 11 ára.
He liked that I got myself a job.	Hann var ánægður með að ég hefði vinnu.
He always used to say that American kids were spoiled lazy.	Hann var vanur að segja að bandarískir krakkar væru ofdekraðir og latir.
Henry!	Henry!
Watch how you cross!	Farðu varlega yfir götuna!
Bring back milk!	Komdu heim með mjólk!
My mother was happy after she found out the Ciceros came from the same part of Sicily as she did.	Mamma gladdist þegar hún komst að því að Cicerofjölskyldan var frá sama hluta Sikileyjar og hún.
To my mother that was the answer to all her prayers.	Það var sem svar við öllum hennar bænum.
I was the luckiest kid in the world.	Ég var heppnasti strákur í heimi.
I could go anywhere, do anything.	Ég gat farið hvert sem er, gert hvað sem er.
I knew everybody, and everybody knew me.	Ég þekkti alla og allir þekktu mig.
Wiseguys would pull up and Tuddy would let me park their Cadillacs.	Glæpamenn komu og Tuddy leyfði mér að leggja kádiljálkunum þeirra.
Here I am, this little kid, I can't even see over the steering wheel and I'm parking Cadillacs.	Hér er ég, smápatti sem sér varla yfir stýrið, að leggja kádiljálkum.
But, it wasn't too long before my parents changed their minds about my job at the cabstand.	En það leið ekki á löngu þar til foreldrar mínir skiptu um skoðun á vinnunni minni á leigubílastöðinni.
For them, it was supposed to be a part-time job.	Þau vildu að ég ynni þar bara í hlutastarfi.
But for me it was definitely full time.	Fyrir mér var þetta fullt starf.
That's all I wanted to do.	Þetta var það eina sem ég vildi gera.
People like my father could never understand, but I was part of something.	Fólk eins og faðir minn gat aldrei skilið það en ég var hluti af heild.
I belonged. I was treated like a grown-up.	Það var komið fram við mig eins og fullorðinn.
Tell him 519.	Segðu honum 519.
Every day I was learning to score.	Á hverjum degi lærði ég að græða peninga.
A dollar here, a dollar there. I was living in a fantasy.	Smáaur hér, smáaur þar, lífið var sem draumur.
Did you have a good day at school?	Gekk þér vel í skólanum í dag?
My father was always pissed off.	Pabbi var alltaf reiður.
Pissed that he made such lousy money, that my brother Michael was in a wheelchair. He was pissed that there were seven of us living in such a tiny house.	Reiður yfir því hvað hann var með lág laun, að Michael bróðir minn skyldi vera í hjólastól og að við skyldum búa sjö í pínulítilli íbúðarholu.
Tell me about this.	Útskýrðu þetta.
It's a letter from school.	Þetta er bréf frá skólanum.
It says you haven't been there in months.	Þar stendur að þú hafir ekki mætt í marga mánuði.
In months!	Marga mánuði!
You're a bum!	Þú ert aumingi!
Want to grow up to be a bum?	Viltu verða aumingi þegar þú verður stór?
After a while, he was mostly pissed because I hung around the cabstand.	Að lokum var hann aðallega reiður yfir vinnunni minni á leigubílastöðinni.
He knew what went on there.	Hann vissi hvað þar fór fram.
Every once in a while I 'd have to take a beating. But by then, I didn't care.	Ég var því barinn öðru hvoru, en mér var orðið sama.
The way I saw it everybody takes a beating sometime.	Að mínu mati verða allir að þola barsmíðar einhvern tímann.
I can't make any more deliveries.	Ég get ekki farið með fleiri pakka.
What?	Hvað þá?
You'll fuck everything up.	Þú klúðrar öllu.
My dad says he'll kill me.	Pabbi segist ætla að drepa mig.
Look.	Sjáðu.
Come with me.	Komdu með mér.
Is that him there?	Er þetta hann?
No.	Nei.
How about him?	En þetta?
No.	Nei.
That's the guy...	Þetta er hann!
Get him.	Takið hann.
Excuse me.	Afsakið.
Scumbag.	Drullusokkur.
Come here, you piece of shit.	Komdu hérna, skíthællinn þinn.
Know this kid?	Veistu hver þessi strákur er?
Yeah.	Já.
Know where he lives?	Veistu hvar hann býr?
Yeah.	Já.
You deliver mail to his house?	Ferðu með póst heim til hans?
Yeah.	Já.
From now on, any letter from school to his house comes directly here.	Héðan í frá skaltu koma með öll bréf til hans frá skólanum beint hingað.
Understand?	Er það skilið?
Another letter from school goes to that kid's house in the oven you'll go, head first.	Ef honum berst annað bréf frá skólanum endar þú í ofninum, með höfuðið á undan.
That was it. No more letters from truant officers.	Það með var það frágengið.
No letters from school.	Það bárust ekki fleiri bréf frá skólanum.
In fact, no more letters from anybody.	Reyndar bárust engin bréf.
After a few weeks, my mother went to the post office to complain.	Eftir nokkrar vikur varð mamma að fara á pósthúsið og kvarta.
How could I go to school after that and pledge allegiance and sit through good government bullshit?	Hvernig gat ég farið í skólann eftir þetta, lýst yfir hollustu við fánann og setið undir lofsöng um stjórnina?
Paulie hated phones.	Paulie þoldi ekki síma.
He wouldn't have one in his house.	Hann vildi ekki síma heima hjá sér.
Mickey called.	Mickey hringdi.
Want me to call him back?	Viltu að ég hringi í hann aftur?
All right, make the call.	Allt í lagi, hringdu.
He got all his calls second hand.	Hann fékk öll sín símtöl í gegnum aðra.
Then you 'd have to call the people back.	Síðan varð að hringja í fólkið aftur.
Got a nickel?	Áttu klink?
Get him on the phone.	Hringdu í hann.
Paulie hated conferences.	Paulie hataði margmenna fundi.
He didn't want anybody hearing what he said or anyone listening to what he was being told.	Hann vildi ekki að neinn heyrði hvað hann sagði eða að nokkur heyrði hvað honum var sagt.
Hundreds of guys depended on him, and he got a piece of everything they made.	Hundruð manna treystu á hann og hann fékk hlut af öllum þeirra tekjum.
It was a tribute, like in the old country, except they were doing it in America.	Þetta voru framlög, eins og í gamla landinu, bara nú í Bandaríkjunum.
All they got from Paulie was protection from the guys trying to rip them off.	Það eina sem Paulie gerði var að útvega vernd fyrir svindlurum og þjófum.
That's what it's all about.	Um það snýst málið.
That's what the FBI could never understand.	Það gat Alríkislögreglan aldrei skilið.
What Paulie and the Organization does is protect people who can't go to the cops.	Það sem Paulie og samtökin gera er að vernda fólk sem getur ekki leitað til löggunnar.
That's it.	Það er allt og sumt.
They're like the police department for wiseguys.	Þeir eru nokkurs konar lögregla fyrir glæpamennina.
People looked at me differently, and they knew I was with somebody.	Fólk leit öðruvísi á mig og vissi að ég var með einhverjum.
I didn't have to wait in line at the bakery on Sunday morning for fresh bread.	Ég þurfti ekki að bíða í röð í bakaríinu á sunnudagsmorgnum eftir nýju brauði.
The owner knew who I was with, and no matter how many people were waiting I was taken care of first.	Eigandinn vissi hjá hverjum ég vann og sama hversu margir biðu þá afgreiddi hann mig fyrst.
Our neighbors stopped parking in our driveway, even though we had no car.	Nágrannarnir lögðu ekki í innkeyrslunni okkar þó við ættum engan bíl.
At 13 I was making more money than most of the grown-ups in the neighborhood.	Þegar ég var 13 ára vann ég mér inn meiri pening en flestir fullorðnir í hverfinu.
I had it all. One day...	Mér gekk allt í haginn.
One day, some neighborhood kids carried my mother's groceries all the way home.	Einn dag báru krakkar úr hverfinu matvörur heim fyrir mömmu.
You know why?	Vitiði af hverju?
You look like a gangster.	Þú lítur út eins og glæpamaður.
They shot me.	Þeir skutu mig.
Help!	Hjálp!
Henry, shut the door.	Henry, lokaðu hurðinni.
That was the first time I had ever seen anyone shot.	Þetta var í fyrsta skipti sem ég sá einhvern skotinn.
Can't have that in here. Jesus Christ!	Hann getur ekki komið hingað inn.
I can't have that in this joint.	Ég má ekki við þessu hér.
I remember feeling bad about the guy, but also feeling maybe Tuddy was right.	Ég man ég vorkenndi náunganum en hugsaði þó að kannski væri þetta rétt hjá Tuddy.
I knew Paulie didn't want anyone dying in the building.	Ég vissi að Paulie vildi ekki að neinn dæi í húsinu.
You're a real jerk.	Þú ert nú meira fíflið.
You wasted eight fucking aprons on this guy.	Þú sóaðir átta svuntum á gaurinn.
What's wrong with you?	Hvað er eiginlega að þér?
I got to toughen this kid up.	Ég þarf að herða strákinn upp.
And it was when I first met Jimmy Conway.	Og þá hitti ég fyrst Jimmy Conway.
He couldn't have been more than 28 or 29 at the time, but he was already a legend.	Þá var hann varla eldri en 28 eða 29 en þegar orðinn að þjóðsögn.
He 'd walk in the door and everybody who worked the room just went wild.	Um leið og hann gekk inn í salinn urðu allir vitlausir sem unnu þar.
He 'd give a doorman $ 100 just for opening the door.	Hann gaf dyraverðinum 100 dollara bara fyrir að opna.
He 'd give hundreds to the dealers and the guys who ran the games.	Þeir sem gáfu spilin fengu líka 100.
The bartender got $ 100 just for keeping the ice cubes cold.	Barþjónninn fékk 100 bara fyrir að halda ísmolunum köldum.
The Irishman is here to take you Guineas'money.	Írinn er kominn til að hirða peningana af Ítölunum.
Want a drink?	Viltu drykk?
Give me a Seven and Seven.	Láttu mig hafa Seven í seven.
I 'd like you to meet the kid Henry.	Má ég kynna strákinn Henry.
How you doin'?	Hvernig hefurðu það?
Thank you.	Þakka þér fyrir.
Keep them coming.	Haltu áfram að koma með þá.
Jimmy was one of the most feared guys in the city.	Jimmy var einn af þeim sem menn óttuðust mest í borginni.
He was first locked up at 11, and doing hits for mob bosses at 16.	Hann var fyrst settur inn 11 ára og 16 ára var hann farinn að drepa fyrir mafíuna.
Hits never bothered Jimmy.	Drápin voru ekkert mál fyrir Jimmy.
It was business.	Þau voru bara viðskipti.
But what Jimmy really loved to do... what he really loved to do was steal.	Það sem honum fannst samt skemmtilegast var að stela.
He actually enjoyed it.	Hann naut þess.
Jimmy was the kind of guy who rooted for the bad guys in movies.	Jimmy var sú manngerð sem hélt með vondu körlunum í bíómyndum.
Give me your wallet.	Láttu mig fá veskið þitt.
You might know who we are, but we know who you are.	Þú veist kannski hverjir við erum en við vitum hver þú ert.
He was one of the city's biggest hijackers of booze, cigarettes, razor blades, shrimp and lobsters.	Hann var einn afkastamesti þjófur í borginni á áfengi, sígarettum, rakblöðum, rækjum og humar.
Shrimp and lobsters were best.	Rækjur og humar voru það besta.
They went fast.	Það seldist strax.
Almost all of them were gimmies.	Næstum öll ránin voru leikur einn.
They just gave it up, no problem.	Menn gáfust bara upp möglunarlaust.
They called him Jimmy the Gent.	Þeir kölluðu hann Séntilmanninn.
Help the lady.	Hjálpaðu dömunni.
Drivers loved him.	Bílstjórar dýrkuðu hann.
They used to tip him off about the really good loads.	Þeir voru vanir að láta hann vita af góðum förmum.
Of course, everybody got a piece.	Auðvitað fengu allir sinn hlut.
Thanks, I'll be back for the rest later.	Takk, ég kem eftir afganginum seinna.
Henry, come here.	Henry, komdu hérna.
Say hello to Tommy.	Heilsaðu Tommy.
You're gonna be working together, okay?	Þið eigið að vinna saman.
Help him. Go ahead.	Hjálpaðu honum.
Jimmy, you got anything good?	Jimmy, ertu með eitthvað gott?
And when the cops assigned a whole army to stop Jimmy, what did he do?	Og hvað gerði Jimmy þegar löggan sendi heilan her gegn honum?
He made them partners.	Hann gerði þá að samstarfsmönnum.
I 'd complain, but who 'd listen?	Ég myndi kvarta, en hlustar nokkur?
What do you need?	Hvað vantar þig?
Two Luckys.	Tvö af Lucky Strike.
Here you go, Henry.	Hérna, Henry.
Thanks a lot.	Takk.
What do you need?	Hvað vantar þig?
One Pall Mall.	Eitt af Pall Mall.
What are you doing?	Hvað ertu að gera?
It's all right.	Þetta er í lagi.
Says who?	Segir hver?
Your mother?	Mamma þín?
How many Pall Malls you need?	Hvað viltu mörg af Pall Mall?
Where 'd you get the cigarettes?	Hvar fékkstu þessar sígarettur?
Get him out of here.	Förum með hann.
It's okay.	Þetta er allt í lagi.
It's not okay!	Nei!
You don't understand.	Þú skilur ekki.
You don't understand.	Það ert þú sem skilur ekki.
Store's closed.	Búðin lokar.
Henry got pinched.	Henry var tekinn.
Where?	Hvar?
By the factory.	Við verksmiðjuna.
Henry Hill. The People of the State of New York vs. Henry Hill.	Fylkisstjórnin gegn Henry Hill.
Docket # 704162.	Mál nr. 704162.
Yes, sir.	Já, herra.
That's me.	Það er ég.
Just stand there.	Stattu þarna.
Now stay there.	Vertu kyrr þarna.
Counselor, proceed.	Gjörðu svo vel, lögmaður.
Congratulations.	Til hamingju.
Here's your graduation present.	Hér er útskriftargjöfin þín.
