Bye, Jimmy.	Bless, Jimmy.
I'm really close.	Ég er verulega nálægt.
In New York, I think.	Í New York, held ég.
I don't mean to burst your bubble, Jimbo... but if you got a thing for Chloe, it's not gonna happen.	Ég vil ekki eyðileggja drauma þína, Jimbo... en ef þú ert hrifinn af Chloe þá verður það ekkert úr því.
We're getting married in one hour.	Brúðkaupið verður eftir klukkustund.
What are you expecting to happen?	Við hverju bjóstu?
You can't even touch her.	Þú getur ekki komið við hana.
How are you gonna have children?	Þú mátt ekki eiga börn.
Do you even have sperm?	Framleiðirðu sæði? En hún...
Fact it, dude, you're a charity case.	Þú ert aumingi, vinur.
Chloe felt sorry for you because you lived in a bubble.	Chloe vorkenndi þér af því þú bjóst í plastkúlu.
Do us all a favor. Go on back to Palmdale where you belong.	Farðu bara aftur til Palmsdale þangað sem þú átt heima.
I wasn't quite sure what Mark meant about the sperm... but he was right about one thing.	Ég var ekki viss um hvað Mark átti við með sæðinu... en eitt var rétt hjá honum...
Even if I did get there... I couldn't ever really hold Chloe in my arms... or kiss her for real.	Jafnvel þótt ég færi þangað gat ég hvorki faðmað Chloe... né kysst hana í alvöru.
I really was a freak. Hello.	Ég var sannkallað viðundur.
Hi, Dr. Phreak. It's Jimmy.	Sæll, Frík læknir, þetta er Jimmy.
Jimmy who?	Hvaða Jimmy?
The bubble boy.	Plastkúludrengurinn.
Give me that!	Láttu mig fá símann.
That's my phone!	Þetta er síminn minn.
Hello?	Halló?
Jimmy!	Mamma?
I never stole anything before... and I just fell off a dead man's car... and my parents are about to come pick me up... and this is the girl I love's favorite beer... and I was just wondering, could I borrow it? Yeah, sure.	Æ, æ. Ég hef aldrei stolið neinu og datt úr bíl dauðs manns... foreldrar mínir eru að koma... þetta er uppáhaldsbjór kærustu minnar Má ég fá hann lánaðan?
Thanks.	Já.
Now open the safe!	Opnaðu skápinn!
Do it! Chop chop!	Gerðu það!
But I think you learned a valuable lesson.	En þú lærðir mikilvæga lexíu.
There's no place like home.	Heima er best.
Morton, load him in the car.	Settu hann í bílinn.
I think I have to wee-wee. How--ahem- - how was it out here?	Barmur minn er svo þrunginn gleði að ég þarf að pissa.
Was it fun?	Var gaman þarna?
You can see the moon today.	Tunglið sést í dag.
You know, it kind of makes you wonder... what would have happened if Neil Armstrong... had gone all the way to the moon... and then never stepped on the surface.	Það fær mann til að velta fyrir sér hvað hefði gerst... ef Neil Armstrong hefði farið alla leið til tunglsins... og síðan aldrei stigið á yfirborðið.
Jimmy!	Morton!
Morton, where's Jimmy?!	Hvar er Jimmy?
What happened?	Hvað kom fyrir?
Jimmy! Come to Mommy!	Komdu til mömmu!
No, Mom!	Nei, mamma!
I'm sorry!	Mér þykir það leitt!
I gotta do this!	Ég verð að gera þetta!
I'm not coming home!	Ég fer ekki heim.
Jimmy! Todd, we love you!	Við fundum þig!
We've come to set you free!	Við ætlum að frelsa þig!
Who the hell are you?	Hver eruð þið?
Back off, bitch!	Farðu, tæfa!
He's the messiah!	Hann er Messías!
We love you, Todd!	Við elskum þig, Todd!
Jimmy, no!	Ekki, Jimmy!
Slim?	Slim?
Wildfire?	Ástarbál!
Wildfire What happened to you, Pappy?	Hvað kom fyrir þig, Pappy?
I thought you were dead.	Ég hélt að þú værir dáinn!
I ain't Pappy. I'm Pippy.	Ég er ekki Pappy heldur Pippy.
Ain't talked to that sumbitch brother of mine in 86 years.	Ég hef ekki talað við bróðurómynd mína í 86 ár.
That's on account of- - Poon!	Allt út af... Kvennafari!
Poonani!	Gvend Láru.
Poonani?	Gvend Láru?
Sister to Poon.	Sífellt á kvennafari.
Pappy talked about Poon... but he never mentioned any Poonani, Pippy.	Pappy talaði um Poontang en ekki Poonani, Pippy.
Chloe!	Chloe!
Ha ha ha! Take me down, Pippy!	Lentu vélinni, Pippy.
Take me down!	Lentu vélinni.
Oh, we're goin' down.	Við förum niður.
Very fast.	Verulega hratt.
Pippy!	Pippy!
You didn't break out of that bubble room... to play it safe.	Þú fórst ekki úr plastkúlu - herberginu til að vera öruggur.
Don't live in regret, ese.	Lifðu ekki í eftirsjá, vinur.
No regrets. No regrets.	Engin eftirsjá.
No regrets. No regrets.	Engin eftirsjá.
No regrets!	Engin eftirsjá!
Oh, yeah.	Ó, já.
I'm almost there!	Ég er að koma!
I'm almost... And do you, Chloe... take Mark to be your lawfully wedded husband... to honor and cherish, in sickness and in health... as long as you both shall live?	Gengur þú, Chloe, að eiga Mark... og heiðra hann og elska... í blíðu og stríðu alla ævi?
Come on, babe.	Svaraðu, elskan.
Easy question.	Auðveld spurning.
Jimmy! Hey, dude, what the hell are you doing here?	Hvað ertu að gera hérna?
I thought I told you to head on home.	Ég sagði þér að fara heim.
Just hold on a second, vato.	Bíddu aðeins, lagsi.
Vato?	Lagsi?
Shut up!	Þegiðu.
Am I out of line here?	Geng ég of langt?
Chloe, I...	Chloe?
What?	Ég...
What?	Hvað?
Jimmy, what are you doing? Jimmy?	Hvað ertu að gera, Jimmy?
I 'd rather spend one minute holding you... than the rest of my life knowing I never could.	Ég vil frekar halda utan um þig í eina mínútu... en að vita alla ævi að ég hefði getað það.
So if you don't mind... may I kiss the bride?	Ef þér væri sama má ég þá kyssa brúðina?
Is it me?	Er það ég?
I love you, Jimmy.	Ég elska þig, Jimmy.
I've always loved you. He's dead!	Ég hef alltaf elskað þig.
You killed him!	Þú drapst hann!
Oh! Ohh!	Hvað er að?
Oh, Jimmy!	Elsku Jimmy.
You're not dead, Jimmy.	Hann lýgur.
He's lying. Tell him.	Segðu honum það.
Tell him everything.	Leystu frá skjóðunni.
Ohh... you're not dead, Jimmy.	Þú ert ekki dáinn, Jimmy.
I'm not? Ohh!	Er það ekki?
You developed immunities when you were four.	Ónæmiskerfið myndaðist í þér þegar þú varst 4 ára.
I couldn't let the world ruin you with its filth!	Ég gat ekki látið heiminn eyðileggja þig með skítnum.
There are so many awful things out there. There's so many horrible...	Það er svo margt voðalegt þarna og hræðilegt...
I love you, Mom. Oh!	Mér þykir vænt um þig, mamma.
Ain't that sweet.	Jæja þá.
So... since I'm not dead...	Fyrst ég er ekki dáinn...
Thanks for the ice cream cake, Pushpop.	Þakka þér fyrir ístertuna.
Well said, Master.	Vel mælt, meistari.
You don't have to follow me this closely.	Þið þurfið ekki að elta mig á röndum. Allir!
Everyone! The buffet is open!	Þið megið koma að kalda borðinu!
Winner! Winner!	Sigurvegari!
Winner!	Sigurvegari!
Here.	Hérna.
It's a long story. I'll tell you on the honeymoon.	Ég segi þér söguna í brúðkaupsferðinni.
Thank you.	Þakka þér fyrir.
To family.	Skál fyrir fjölskyldunni.
Hit it, Slim.	Af stað, Slim.
Hit it, Ace. To friendship. To friendship.	Af stað, kappi.
Now we're gonna party!	Skál fyrir vináttu.
Congratulations, kids.	Til hamingju, krakkar.
Ready to take off?	Eruð þið ferðbúin?
Pippy? You're right about family, kid.	Pippy? Rétt hjá þér með fjölskylduna.
You can't die, Mike.	Þú mátt ekki deyja, Mike.
You can't. Because I love you.	Þú mátt það ekki Af því ég elska þig.
Justice never tasted so sweet as in The Bench. I didn't do it.	Réttlætið hafði aldrei verið jafnljúft og í "Dómarasætinu "?
I'm innocent. Why won't anyone believe me?	Ég gerði það ekki, Ég er saklaus, Því trúir mér enginn?
I object, Your Honour.	Ég mótmæli, dómari!
You're out of order.	Þú gengur of langt!
No, you are out of order sir.	Nei, þú gengur of langt!
I object to the way my client has been treated.	Ég mótmæli framkomunni við skjólstæðing minn.
I object to the fact that I've let my professional judgment become clouded by my feelings for my client. I object to the way the room seems to spin whenever she walks into it.	Ég mótmæli því að ég hef látið faglega dómgreind mína víkja fyrir tilfinningum mínum í garð skjólstæðings míns, Ég mótmæli því hvernig herbergið hringsnýst þegar hún gengur inn.
I object, Your Honour, because I love this woman.	Ég mótmælti, dómari, af því ég elska þessa konu.
Their love opened our eyes in Sasha and the Optometrist. Read from the top line, Sasha. 'l... '... L-O-V-E... '... Y-O.... '	Ást þeirra opnaði augu okkar í "Sasha og sjónglerja - fræðingurinn ", É-G?
Oh. You.	E-L-S-K-A?
Dr. Martin.	Þ-I -..?
Eddie Thomas and Gwen Harrison: America's Sweethearts.	Þig, Doktor Martin, Eddie Thomas og Gwen Harrison: "Eftirlæti Ameríku."
God, they were great. Made my job cake. I did the press for all their movies, all nine.	EFTIRLÆTI AMERÍKU Þau voru frábær, Gerðu mér starfið auðvelt, Ég sá um fjölmiðlakynningar allra níu bíómyndanna.
Six did over $ 100 million. They were on top of the world.	Sex höluðu inn yfir 100 milljónir dala Þau voru á toppinum?
Then she blew it by taking up with that Spaniard.	Síðan klúðraði hún því með því að taka saman við Spánverjann, Klipptirðu þetta sjálfur?
Did you cut this yourself?	Nei, Chad í markaðsdeild.
That is survival rule number one.	Eignaðu þér alltaf heiðurinn.
Okay, I did it on my Mac. Rule number two: Don't take credit until someone actually says they like what you did.	Það er sjálfsbjargarregla 1, Allt í lagi, ég gerði það á Makkanum mínum, Regla 2: Ekki eigna þér heiðurinn fyrr en einhver hrósar verkinu.
It's not bad.	Þetta er ekki slæmt?
I hope this isn't too awkward for you.	Vonandi er þetta ekki vandræðalegt fyrir þig.
I'll never be able to fill your shoes.	Ég fylli aldrei skarðið eftir þig.
I know.	Ég veit.
Kingman's in the screening room and he wants you to look at something right now. Please remind Mr. Kingman that he fired me last week.	Kingman er í sýningarsalnum, vill að þú sjáir eitthvað strax, Minntu Kingman á að hann rak mig í síðustu viku.
Then invite him, at his earliest convenience, to kiss my undercarriage.	Bjóddu honum svo að kyssa undirvagninn á mér.
I think you'll wanna see this Lee. Hello, Dave. Lee.	Ég held þú viljir sjá þetta, Sæll, Dave. Lee.
Thank you for coming.	Takk fyrir að koma.
Why am I here? I'm just confused.	Hvað er ég að gera hér?
I mean, you did actually fire me last week, so why am I here?	Þú rakst mig í síðustu viku svo hvað er ég að gera hér?
I brought you to see the new Weidmann film.	Ég vil að þú sjáir nýju Weidmann-myndina.
Really? Yes.	Í alvöru?
Eddie and Gwen's last movie.	Já, Síðasta kvikmynd Eddies og Gwen, Þú ert sérfræðingurinn.
You know their movies better than anybody Have you seen it?	Hefurðu séð hana?
All of it?	Alla?
How is it?	Hvernig er hún?
Could you roll that, please.	Settu í gang.
I want you to be the first to see what only I have seen. As a friend.	Ég vil að þú sjáir fyrstur það sem aðeins ég hef séð, Sem vinur, KINGMAN KVIKMYNDIR KYNNA KVIKMYND EFTIR HAL WEIDMANN TÍĐ Á TÍĐ OFAN Er eitthvað að?
Did the film break?	Slitnaði filman?
No. The film is fine. I think it's fine, wherever it is.	Nei, Það er ekkert að kvikmyndinni, hvar sem hún annars er.
I spent 86 million dollars of the studio's money on 20 seconds of titles.	Ég eyddi 86 milljónum dala af peningum myndversins í 20 sekúndur af titlum?
That's all he sent me. The titles.	Þetta er allt sem hann sendi, Titlana!
And a note.	Og bréf?
'Dave, we could also do these in blue. '	Dave, við oetum lika haft þá bláa.
We had to make a Hal Weidmann picture. He's won three Oscars.	Við þurftum að gera mynd með Hal Weidmann!
He's a genius.	Hann vann þrenn Óskarsverðlaun.
There's only been one genius in this business: Señor Wences.	Hann er snillingur, Það hefur aðeins verið einn snill - ingur í bransanum: Senor Wences!
A little lipstick, some hair and his hand.	Varalitur, hár og höndin á honum!
He had an career for 85 years.	Hann var að í 85 ár!
Do you remember?	Manstu? Ha?
'S 'all right.	Er allt í lagi?
Don't talk to me about genius.	Ekki tala við mig um snilld.
Remember the crazy guy in the woods? Ted Kaczynski.	Manstu eftir brjálæðingnum í skóginum? Ted Kaczynski.
Who?	Hver?
The guy at Fox?	Náunginn hjá Fox?
The Unabomber. The Unabomber.	Sprengjuvargurinn, Sprengjuvargurinn.
Remember he lived in that little cabin?	Manstu að hann bjó í litlum kofa?
So?	Hvað með það?
Hal Weidmann bought that cabin from the government and had it moved onto his property. That is where he edits his movies.	Hal Weidmann keypti kofann af ríkinu og lét flytja hann á landareign sína, Þar klippir hann myndirnar sínar.
That is his little, twisted sicko office. It's him.	Það er litla, brenglaða, sjúklega skrifstofan hans?
On the phone.	Hann er í símanum?
Hal.	Hver?
I'm going to kill him.	Hal, Ég drep hann!
That sick, son-of-a-bitch bastard. Put him on the speaker.	Helvítis tíkarsonurinn, Settu hann í hátalarann.
Hi, Hal. How are you, darling?	Hæ, Hal, Hvernig hefurðu það, ljúfur?
I've been thinking about you.	Ég hef verið að hugsa til þín.
I wanted to send you a basket or something.	Mig langaði að senda þér körfu.
How's the movie?	Hvernig er myndin?
It's finding its way. Could it find its way to the studio?	Öll að koma til, Gæti hún komið hingað?
We have a few little things to do with it, like finish it.	Við þurfum að gera smáræði eins og að ljúka við hana.
It's finished, Dave.	Hún er tilbúin, Dave.
Great.	Frábært.
My mother thinks it's the best thing I've ever done.	Mömmu finnst hún mín besta mynd.
Can I speak with her, Hal?	Get ég fengið að tala við hana?
No, Dave.	Nei, Dave.
Can we send someone to pick it up?	Megum við senda einhvern að sækja hana?
No, Dave.	Nei, Dave.
You haven't said anything about the titles. I love them.	Þú hefur ekki sagt neitt um titlana, Ég dýrkaði þá, Ég gerði engar athugasemdir.
I have no notes. When's the press junket?	Hvenær er blaðamannakynningin?
Weekend of the 21st.	Helgina 21, Hvers vegna?
Why? 'cos I want the press to be first to see it. I'll bring it to the junket.	Ég vil að fjölmiðlarnir verði fyrstir til að sjá hana, Ég kem með hana á kynninguna.
We'll all experience it together.	Við upplifum hana saman.
I don't experience things with the press.	Nei, Hal, Ég er yfirmaður kvikmyndaversins, Ég upplifi ekki hluti með fjölmiðlum, Ég ætla að leggja á.
I'm hanging up now.	Bíddu!
Wait.	Bíddu!
Give me that. Hello?	Fáðu mér þetta, Halló?
No, no. God damn it.	Fjandinn hafi það!
He won't let us see it before the press.	Hann leyfir okkur ekki að sjá hana á undan fjölmiðlum!
At the junket?	Á kynningunni?
Yes, at the junket.	Já, á kynningunni!
No, no. Lee.	Nei, Lee.
You've got to do this junket.	Þú verður að sjá um kynninguna.
You want me to set up a junket in 2 weeks, and you're not sure if you have the film.	Á ég að stjórna kynningu án þess að þú vitir hvort þú ert með mynd?
Yes. No.	Já, Nei!
Lee. Don't make me beg.	Ekki láta mig biðja.
You already are. Lee, please.	Þú ert þegar að því, Lee, ég bið þig.
Please, come on.	Gerðu það, ekki láta svona.
