Chapter 1 - Of Fiddle Mord	Kafli 1
Hrut stayed at home at Hrutstede till winter was six weeks off, and then the brothers made ready, and Auzur with them, to ride to Hrut's wedding.	Þá bjuggust þeir bræður og Össur með þeim að ríða austur til brúðlaups Hrúts og riðu við sex tigu manna.
Sixty men ride with them, and they rode east till they came to Rangriver plains.	Þeir riðu þar til er þeir koma austur á Rangárvöllu.
There they found a crowd of guests, and the men took their seats on benches down the length of the hall, but the women were seated on the cross benches on the dais, and the bride was rather downcast.	Þar var fjöldi fyrirboðsmanna. Skipuðust menn þar í sæti en konur skipuðu pall og var brúðurin heldur döpur.
So they drank out the feast and it went off well.	Drekka þeir veisluna og fer hún vel fram.
Mord pays down his daughter's portion, and she rides west with her husband and his train.	Mörður greiddi út heimanfylgju dóttur sinnar og reið hún vestur með Hrúti.
So they ride till they reach home.	Þau riðu þar til er þau komu heim.
Hrut gave over everything into her hands inside the house, and all were pleased at that;	Hrútur fékk henni öll ráð í hendur fyrir innan stokk og líkaði það öllum vel.
but for all that she and Hrut did not pull well together as man and wife, and so things went on till spring, and when spring came Hrut had a journey to make to the Westfirths, to get in the money for which he had sold his wares;	En fátt var um með þeim Hrúti um samfarar og fer svo fram allt til vors. Og þá er voraði átti Hrútur för í Vestfjörðu að heimta fyrir varning sinn.
but before he set off his wife says to him -	En áður hann færi heiman talaði Unnur við hann:
"Dost thou mean to be back before men ride to the Thing?"	«Hvort ætlar þú aftur að koma áður menn ríða til þings?»
"Why dost thou ask?" said Hrut.	«Hvað er að því?» segir Hrútur.
"I will ride to the Thing," she said, "to meet my father."	«Eg vil ríða til þings,» segir hún, «og finna föður minn.»
"So it shall be," said he, "and I will ride to the Thing along with thee."	«Svo skal þá vera,» sagði hann, «og mun eg ríða til þings með þér.»
"Well and good," she says.	«Vel er það og,» segir hún.
After that Hrut rode from home west to the Firths, got in all his money, and laid it out anew, and rode home again.	Síðan fór hann heiman og vestur í fjörðu og byggði allt féið og fór þegar vestan.
When he came home he busked him to ride to the Thing, and made all his neighbours ride with him.	Og er hann kom heim bjó hann sig þegar til þings og lét ríða með sér alla nábúa sína.
His brother Hauskuld rode among the rest.	Höskuldur reið og, bróðir hans.
Then Hrut said to his wife -	Hrútur mælti við konu sína:
"If thou hast as much mind now to go to the Thing as thou saidst a while ago, busk thyself and ride along with me."	«Ef þér er jafnmikill hugur á að fara til þings sem þú lést þá bú þú þig og ríð til þings með mér.»
She was not slow in getting herself ready, and then they all rode to the Thing.	Hún bjó sig skjótt og síðan ríða þau uns þau koma til þings.
Unna went to her father's booth, and he gave her a hearty welcome, but she seemed somewhat heavy-hearted, and when he saw that he said to her -	Unnur gekk til búðar föður síns. Hann fagnaði henni vel en henni var skapþungt nokkuð.
She began to weep, and answered nothing.	Hún tók að gráta og svaraði engu.
Then he said to her again, "Why dost thou ride to the Thing, if thou wilt not tell me thy secret? Dost thou dislike living away there in the west?"	Þá mælti hann við hana: «Til hvers reiðst þú til alþingis ef þú vilt eigi svara mér eða segja mér trúnað þinn eða þykir þér eigi gott vestur þar?»
Then he sends men to fetch Hauskuld and Hrut, and they came straightway;	Þá sendi hann mann eftir þeim Hrúti og Höskuldi. Þeir fóru þegar.
and when they came in to see Mord, he rose up to meet them and gave them a hearty welcome, and asked them to sit down.	Og er þeir komu á fund Marðar stóð hann upp í mót þeim og fagnaði þeim vel og bað þá sitja.
Then they talked a long time in a friendly way, and at last Mord said to Hauskuld -	Töluðu þeir lengi og fór tal þeirra vel. Þá mælti Mörður til Hrúts:
"Why does my daughter think so ill of life in the west yonder?"	«Hví þykir dóttur minni svo illt vestur þar?»
"Let her speak out," said Hrut, "if she has anything to lay to my charge."	Hrútur mælti: «Segi hún til ef hún hefir sakagiftir nokkurar við mig.»
for all the witness goes better for him than for thee".	Mörður mælti: «Heim skalt þú fara og una vel við ráð þitt því að honum ganga öll vitni betur en þér.»
After that Hrut rode home from the Thing, and his wife with him, and all went smoothly between them that summer;	Síðan reið Hrútur heim af þingi og kona hans með honum og var nú vel með þeim um sumarið.
Hrut had again a journey to make west to the Firths, and gave out that he would not ride to the Althing, but Unna his wife said little about it.	Hrútur átti enn ferð vestur í fjörðu að fjárreiðum sínum og lýsti yfir því að hann mundi eigi til alþingis ríða. Unnur talaði fátt um.
So Hrut went away west to the Firths.	Hrútur fór þá er hann var til þess búinn.
Chapter 7 - Unna separates from Hrut	Kafli 7 Nú líður til þings framan.
Now the time for the Thing was coming on, Unna spoke to Sigmund Auzur's son, and asked if he would ride to the Thing with her;	Unnur talaði við Sigmund Össurarson og spurði ef hann vildi ríða til þings með henni.
he said he could not ride if his kinsman Hrut set his face against it.	Hann kveðst eigi ríða mundu ef Hrúti frænda hans þætti verr.
He answered, "I will make a bargain with thee:	«Gera mun eg þér kost á þessu.
thou must promise to ride back west with me, and to have no underhand dealings against Hrut or myself".	Þú skalt ríða vestur með mér aftur og hafa engi undirmál við Hrút eða mig.»
So she promised that, and then they rode to the Thing.	Hún hét því. Síðan ríða þau til þings.
Her father Mord was at the Thing, and was very glad to see her, and asked her to stay in his booth white the Thing lasted, and she did so.	Mörður var á þingi, faðir hennar. Hann tók við henni allvel og bað hana vera í búð sinni meðan þingið væri. Hún gerði svo.
"Now," said Mord, "what hast thou to tell me of thy mate, Hrut?"	Mörður mælti: «Hvað segir þú mér frá Hrúti félaga þínum?»
Then she sung him a song, in which she praised Hrut's liberality, but said he was not master of himself.	Hún svarar: «Gott má eg frá honum segja það allt er honum er sjálfrátt.»
Mord was silent a short time, and then said -	Mörður varð hljóður við og mælti:
"Thou hast now that on thy mind I see, daughter, which thou dost not wish that any one should know save myself, and thou wilt trust to me rather than any one else to help thee out of thy trouble."	«Það býr þér nú í skapi dóttir að þú vilt að engi viti nema eg og munt þú trúa mér best til úrráða um þitt mál.»
Then they went aside to talk, to a place where none could overhear what they said;	Þá gengu þau á tal þar er engir menn heyrðu þeirra viðurmæli.
and then Mord said to his daughter -	Þá mælti Mörður til dóttur sinnar:
"Now tell me all that is between you two, and don't make more of the matter than it is worth."	«Seg þú mér nú allt það er á meðal ykkar er og lát þér ekki í augu vaxa.»
then I will see after the matter. But into his hands thou shalt never come more."	Síðan ríð þú í braut og ríð Laxárdalsheiði og svo til Holtavörðuheiðar því að þín mun eigi leitað til Hrútafjarðar og ríð þar til er þú kemur til mín og mun eg þá sjá fyrir málinu og skalt þú aldrei síðan koma honum í hendur.»
Now she rides home from the Thing, and Hrut had come back before her, and made her hearty welcome.	Nú ríður hún heim af þingi og var Hrútur heim kominn og fagnaði henni vel.
She answered him kindly, and was blithe and forbearing towards him.	Hún tók vel máli hans og var við hann blíð og eftirmál.
So they lived happily together that half-year; but when spring came she fell sick, and kept her bed.	Þeirra samfarar voru góðar þau misseri. En er voraði tók hún sótt og lagðist í rekkju.
Hrut set off west to the Firths, and bade them tend her well before he went.	Hrútur fór í fjörðu vestur og bað henni virkta áður.
Now, when the time for the Thing comes, she busked herself to ride away, and did in every way as had been laid down for her; and then she rides away to the Thing.	Nú er kemur að þingi bjó hún ferð sína í braut og fór með öllu svo sem fyrir var sagt og ríður á þing síðan.
The country folk looked for her, but could not find her.	Héraðsmenn leituðu hennar og fundu hana eigi.
Mord made his daughter welcome, and asked her if she had followed his advice;	Mörður tók við dóttur sinni vel og spurði hana hversu hún hefði með farið ráðagerð hans.
and she says, "I have not broken one tittle of it".	«Hvergi hefi eg af brugðið,» sagði hún.
and men thought this strange news.	Þetta gerðu menn að nýjum tíðindum.
Unna went home with her father, and never went west from that day forward.	Unnur fór heim með föður sínum og kom aldrei vestur þar síðan.
Hrut came home, and knit his brows when he heard his wife was gone, but yet kept his feelings well in hand, and stayed at home all that half-year, and spoke to no one on the matter.	Hrútur kom heim og brá mjög í brún er kona hans var í brautu og er þó vel stilltur og var heima öll þau misseri og réðst við engan mann um sitt mál.
Next summer he rode to the Thing, with his brother Hauskuld, and they had a great following.	Annað sumar eftir reið hann til alþingis og Höskuldur bróðir hans með honum og fjölmenntu mjög.
But when he came to the Thing, he asked whether Fiddle Mord were at the Thing, and they told him he was;	En er hann kom á þing þá spurði hann hvort Mörður gígja væri á þingi.
and all thought they would come to words at once about their matter, but it was not so.	Honum var sagt að hann var þar og ætluðu allir að þeir mundu tala um mál sín en það varð eigi.
there on one side shall be laid all thy daughter's dower, and on the other I will lay down goods worth as much, and whoever wins the day shall have both dower and goods;	Skal við liggja mundurinn allur og þar legg eg í mót annað fé jafnmikið og eigi sá hvorttveggja féið er af öðrum ber.
but if thou wilt not fight with me, then thou shalt give up all claim to these goods."	En ef þú vilt eigi berjast við mig þá skalt þú af allri fjárheimtunni.»
Then Mord held his peace, and took counsel with his friends about going to fight on the island, and Jorund the priest gave him an answer.	Þá þagnaði Mörður og réðst um við vini sína um hólmgönguna. Honum svaraði Jörundur goði:
"There is no need for thee to come to ask us for counsel in this matter, for thou knowest if thou fightest with Hrut thou wilt lose both life and goods.	«Eigi þarft þú við oss ráð að eiga um þetta mál því að þú veist ef þú berst við Hrút að þú munt láta bæði lífið og féið.
He has a good cause, and is besides mighty in himself and one of the boldest of men."	Er honum vel farið. Hann er mikill af sjálfum sér og manna fræknastur.»
